,Dates,Sentiment,Positive,Neutral,Negative,Article Count
0,2022-01-04,0.0,0,3,0,3
1,2022-01-05,-0.01,1,8,1,10
2,2022-01-06,0.26,3,4,0,7
3,2022-01-07,-0.17,1,2,1,4
4,2022-01-08,0.0,0,2,0,2
5,2022-01-09,0.65,2,0,0,2
6,2022-01-10,0.07,2,4,1,7
7,2022-01-11,0.28,2,5,0,7
8,2022-01-12,0.28,2,3,0,5
9,2022-01-13,0.14,5,11,0,16
10,2022-01-14,0.0,0,4,0,4
11,2022-01-15,0.14,2,0,1,3
12,2022-01-16,0.25,1,3,0,4
13,2022-01-17,0.0,0,2,0,2
14,2022-01-18,-0.01,1,8,1,10
15,2022-01-19,0.27,2,4,0,6
16,2022-01-20,0.14,1,6,0,7
17,2022-01-21,-0.16,2,4,3,9
18,2022-01-22,0.37,3,2,0,5
19,2022-01-23,0.48,1,1,0,2
20,2022-01-24,0.0,0,3,0,3
21,2022-01-25,-0.18,2,4,3,9
22,2022-01-26,-0.16,0,3,1,4
23,2022-01-27,0.18,3,6,0,9
24,2022-01-28,0.35,13,12,0,25
25,2022-01-29,0.42,3,2,0,5
26,2022-01-30,0.5,2,0,0,2
27,2022-01-31,0.23,2,1,0,3
28,2022-02-01,0.1,1,6,0,7
29,2022-02-02,0.27,5,3,1,9
30,2022-02-03,0.06,4,11,2,17
31,2022-02-04,0.38,8,10,0,18
32,2022-02-05,-0.33,0,1,1,2
33,2022-02-06,-0.49,0,0,1,1
34,2022-02-07,0.05,1,6,0,7
35,2022-02-08,0.21,5,9,0,14
36,2022-02-09,0.15,2,3,0,5
37,2022-02-10,0.52,3,2,0,5
38,2022-02-11,0.0,0,3,0,3
39,2022-02-13,-0.35,0,1,1,2
40,2022-02-14,-0.09,0,5,1,6
41,2022-02-15,0.0,0,1,0,1
42,2022-02-16,0.0,2,4,3,9
43,2022-02-17,0.38,3,1,0,4
44,2022-02-18,0.11,1,5,0,6
45,2022-02-19,0.0,0,1,0,1
46,2022-02-20,0.2,1,1,0,2
47,2022-02-21,0.0,0,1,0,1
48,2022-02-22,0.32,4,3,0,7
49,2022-02-23,-0.17,0,4,1,5
50,2022-02-24,0.13,1,6,0,7
51,2022-02-25,0.29,2,3,0,5
52,2022-02-26,0.3,2,2,0,4
53,2022-02-27,0.0,0,1,0,1
54,2022-02-28,0.4,3,4,0,7
55,2022-03-01,0.24,1,3,0,4
56,2022-03-02,0.04,1,5,0,6
57,2022-03-03,-0.16,0,4,2,6
58,2022-03-04,-0.03,1,11,2,14
59,2022-03-05,0.3,2,3,0,5
60,2022-03-06,0.54,2,1,0,3
61,2022-03-07,0.1,2,3,1,6
62,2022-03-08,0.23,5,6,1,12
63,2022-03-09,0.16,4,7,2,13
64,2022-03-10,0.16,5,5,1,11
65,2022-03-11,-0.05,1,4,1,6
66,2022-03-12,0.45,1,1,0,2
67,2022-03-13,0.0,0,1,0,1
68,2022-03-14,0.12,7,14,2,23
69,2022-03-15,0.06,2,6,0,8
70,2022-03-16,0.42,3,3,0,6
71,2022-03-17,0.2,2,5,0,7
72,2022-03-18,0.32,2,3,0,5
73,2022-03-19,0.98,1,0,0,1
74,2022-03-20,0.97,2,0,0,2
75,2022-03-21,0.11,3,5,0,8
76,2022-03-22,-0.01,0,3,0,3
77,2022-03-23,0.22,3,8,0,11
78,2022-03-24,0.16,1,3,0,4
79,2022-03-25,0.25,4,6,0,10
80,2022-03-26,0.0,0,2,0,2
81,2022-03-27,1.0,1,0,0,1
82,2022-03-28,0.44,5,3,0,8
83,2022-03-29,0.13,1,4,0,5
84,2022-03-30,0.14,1,3,0,4
85,2022-03-31,0.45,8,2,0,10
86,2022-04-01,0.41,3,3,0,6
87,2022-04-02,0.0,0,1,0,1
88,2022-04-03,0.5,1,1,0,2
89,2022-04-04,0.43,2,1,0,3
90,2022-04-05,0.43,3,2,0,5
91,2022-04-06,0.24,2,1,1,4
92,2022-04-07,0.05,1,8,0,9
93,2022-04-08,0.24,3,4,1,8
94,2022-04-09,0.61,1,0,0,1
95,2022-04-10,-0.78,0,0,1,1
96,2022-04-11,0.31,3,3,0,6
97,2022-04-12,0.14,2,7,0,9
98,2022-04-13,0.22,3,6,0,9
99,2022-04-14,-0.2,0,2,1,3
100,2022-04-16,0.0,0,1,0,1
101,2022-04-17,0.0,0,2,0,2
102,2022-04-18,0.24,2,2,1,5
103,2022-04-19,0.19,1,4,0,5
104,2022-04-20,0.2,1,4,0,5
105,2022-04-21,0.08,1,6,0,7
106,2022-04-22,0.15,1,4,1,6
107,2022-04-23,-0.17,0,5,2,7
108,2022-04-24,0.08,1,1,2,4
109,2022-04-25,0.19,4,5,0,9
110,2022-04-26,0.14,3,3,1,7
111,2022-04-27,0.07,3,4,1,8
112,2022-04-28,0.25,6,8,1,15
113,2022-04-29,0.22,8,9,1,18
114,2022-04-30,0.74,2,0,0,2
115,2022-05-01,0.0,0,2,0,2
116,2022-05-02,-0.02,2,7,2,11
117,2022-05-03,0.05,2,4,0,6
118,2022-05-04,0.3,3,1,2,6
119,2022-05-05,0.1,2,2,1,5
120,2022-05-06,0.0,1,5,1,7
121,2022-05-07,0.0,0,1,0,1
122,2022-05-08,0.2,1,2,0,3
123,2022-05-09,-0.05,1,5,1,7
124,2022-05-10,0.07,1,5,1,7
125,2022-05-11,0.08,1,7,1,9
126,2022-05-12,0.12,5,5,3,13
127,2022-05-13,0.26,3,5,0,8
128,2022-05-14,0.99,1,0,0,1
129,2022-05-15,0.0,0,2,0,2
130,2022-05-16,0.39,1,1,0,2
131,2022-05-17,0.3,4,3,0,7
132,2022-05-18,0.0,0,4,0,4
133,2022-05-19,0.0,0,4,0,4
134,2022-05-20,0.11,1,4,0,5
135,2022-05-21,0.0,0,1,0,1
136,2022-05-22,0.0,0,1,0,1
137,2022-05-23,0.47,3,1,1,5
138,2022-05-24,0.19,4,2,1,7
139,2022-05-25,0.17,1,2,0,3
140,2022-05-26,-0.03,1,2,2,5
141,2022-05-27,0.13,1,2,1,4
142,2022-05-28,0.0,0,2,0,2
143,2022-05-29,-0.45,0,1,1,2
144,2022-05-30,0.0,0,1,0,1
145,2022-05-31,0.0,0,2,0,2
146,2022-06-01,0.04,1,5,0,6
147,2022-06-02,0.41,3,2,0,5
148,2022-06-03,-0.17,0,3,2,5
149,2022-06-04,0.0,0,2,0,2
150,2022-06-06,0.34,3,1,1,5
151,2022-06-07,0.32,6,7,0,13
152,2022-06-08,0.24,1,3,0,4
153,2022-06-09,0.11,4,2,2,8
154,2022-06-10,-0.01,3,6,1,10
155,2022-06-11,0.0,0,2,0,2
156,2022-06-12,0.85,1,0,0,1
157,2022-06-13,0.23,1,3,0,4
158,2022-06-14,0.0,0,3,0,3
159,2022-06-15,-0.02,0,4,1,5
160,2022-06-16,-0.13,1,2,2,5
161,2022-06-17,-0.47,0,1,1,2
162,2022-06-18,0.0,0,2,0,2
163,2022-06-19,0.3,1,2,0,3
164,2022-06-20,-0.99,0,0,1,1
165,2022-06-21,0.18,2,4,0,6
166,2022-06-22,0.0,0,1,0,1
167,2022-06-23,0.0,0,1,0,1
168,2022-06-24,0.2,1,4,0,5
169,2022-06-25,0.0,0,2,0,2
170,2022-06-27,0.0,0,2,0,2
171,2022-06-28,-0.13,1,3,1,5
172,2022-06-29,0.04,2,3,1,6
173,2022-06-30,-0.03,1,6,2,9
174,2022-07-01,-0.03,1,6,1,8
175,2022-07-03,-0.86,0,0,1,1
176,2022-07-05,0.0,0,1,0,1
177,2022-07-06,0.24,1,3,0,4
178,2022-07-07,0.0,0,6,0,6
179,2022-07-08,0.34,1,1,0,2
180,2022-07-09,0.0,0,1,0,1
181,2022-07-10,0.76,1,0,0,1
182,2022-07-11,0.14,1,4,0,5
183,2022-07-12,-0.01,1,4,1,6
184,2022-07-13,0.35,2,2,0,4
185,2022-07-14,-0.24,0,3,1,4
186,2022-07-15,0.0,0,3,0,3
187,2022-07-17,0.48,1,0,0,1
188,2022-07-18,0.28,2,3,0,5
189,2022-07-19,0.17,3,6,0,9
190,2022-07-20,0.0,0,2,0,2
191,2022-07-21,0.01,2,5,1,8
192,2022-07-22,0.2,2,4,0,6
193,2022-07-24,0.8,1,0,0,1
194,2022-07-25,0.27,5,4,0,9
195,2022-07-26,0.0,0,3,0,3
196,2022-07-27,0.06,2,3,1,6
197,2022-07-28,0.22,2,4,1,7
198,2022-07-29,0.36,7,7,0,14
199,2022-07-30,0.92,1,0,0,1
200,2022-08-01,-0.11,1,1,1,3
201,2022-08-02,0.34,1,1,0,2
202,2022-08-03,0.02,1,1,1,3
203,2022-08-04,0.0,0,4,0,4
204,2022-08-05,0.37,2,3,0,5
205,2022-08-06,0.0,0,1,0,1
206,2022-08-07,0.29,1,2,0,3
207,2022-08-08,-0.22,0,1,1,2
208,2022-08-09,0.0,0,2,0,2
209,2022-08-10,0.0,0,4,0,4
210,2022-08-11,-0.13,0,2,1,3
211,2022-08-12,0.21,1,3,0,4
212,2022-08-13,0.98,1,0,0,1
213,2022-08-15,0.24,1,2,0,3
214,2022-08-16,0.07,1,8,0,9
215,2022-08-17,0.25,1,3,0,4
216,2022-08-18,0.2,2,2,1,5
217,2022-08-19,0.21,2,4,0,6
218,2022-08-20,0.66,1,0,0,1
219,2022-08-21,0.49,1,1,0,2
220,2022-08-22,0.31,1,2,0,3
221,2022-08-23,0.18,2,3,0,5
222,2022-08-24,0.0,0,3,0,3
223,2022-08-25,0.31,3,2,0,5
224,2022-08-26,0.24,1,3,0,4
225,2022-08-27,0.0,0,1,0,1
226,2022-08-29,0.0,0,2,0,2
227,2022-08-30,0.06,1,3,0,4
228,2022-08-31,0.09,1,5,0,6
229,2022-09-01,0.0,0,3,0,3
230,2022-09-02,0.0,0,2,0,2
231,2022-09-03,0.0,0,1,0,1
232,2022-09-05,0.0,0,1,0,1
233,2022-09-06,0.13,1,6,0,7
234,2022-09-07,0.18,3,9,0,12
235,2022-09-08,0.05,1,3,0,4
236,2022-09-09,0.25,3,5,0,8
237,2022-09-12,-0.03,2,4,1,7
238,2022-09-13,0.23,3,4,0,7
239,2022-09-14,-0.0,2,4,2,8
240,2022-09-15,0.11,1,5,1,7
241,2022-09-16,0.49,1,1,0,2
242,2022-09-18,0.21,1,0,1,2
243,2022-09-19,0.19,1,4,0,5
244,2022-09-20,0.18,1,3,0,4
245,2022-09-21,-0.09,0,5,1,6
246,2022-09-22,0.17,1,5,0,6
247,2022-09-23,0.04,1,4,0,5
248,2022-09-24,0.96,1,0,0,1
249,2022-09-25,0.88,1,0,0,1
250,2022-09-26,-0.15,0,5,1,6
251,2022-09-27,0.82,1,0,0,1
252,2022-09-28,0.33,5,6,0,11
253,2022-09-29,0.11,3,9,2,14
254,2022-09-30,0.32,3,3,0,6
255,2022-10-02,0.09,1,0,1,2
256,2022-10-03,0.32,2,4,0,6
257,2022-10-04,0.02,1,8,1,10
258,2022-10-05,0.73,3,1,0,4
259,2022-10-06,0.28,2,5,0,7
260,2022-10-07,0.48,2,2,0,4
261,2022-10-08,0.64,2,1,0,3
262,2022-10-09,0.92,1,0,0,1
263,2022-10-10,0.22,2,3,0,5
264,2022-10-11,0.19,2,3,0,5
265,2022-10-12,-0.18,0,5,2,7
266,2022-10-13,-0.09,1,2,1,4
267,2022-10-14,0.1,1,1,0,2
268,2022-10-15,0.35,2,3,0,5
269,2022-10-16,0.42,1,0,0,1
270,2022-10-17,0.29,3,7,0,10
271,2022-10-18,0.0,0,8,0,8
272,2022-10-19,0.0,0,3,0,3
273,2022-10-20,0.03,1,3,1,5
274,2022-10-21,0.0,0,5,0,5
275,2022-10-22,0.48,1,1,0,2
276,2022-10-23,0.0,0,1,0,1
277,2022-10-24,0.11,3,9,0,12
278,2022-10-25,0.36,4,6,0,10
279,2022-10-26,0.03,1,7,0,8
280,2022-10-27,0.15,3,8,0,11
281,2022-10-28,0.18,5,9,3,17
282,2022-10-29,0.8,2,0,0,2
283,2022-10-31,0.35,5,3,0,8
284,2022-11-01,0.05,1,3,0,4
285,2022-11-02,0.3,2,2,0,4
286,2022-11-03,0.14,1,5,0,6
287,2022-11-04,0.26,2,3,0,5
288,2022-11-05,0.3,1,2,0,3
289,2022-11-06,0.4,1,1,0,2
290,2022-11-07,0.16,4,6,1,11
291,2022-11-08,0.4,2,2,0,4
292,2022-11-09,0.29,2,3,0,5
293,2022-11-10,0.32,2,4,0,6
294,2022-11-11,0.65,5,1,0,6
295,2022-11-13,0.81,1,0,0,1
296,2022-11-14,0.29,2,0,2,4
297,2022-11-15,0.39,2,3,0,5
298,2022-11-16,0.16,2,5,0,7
299,2022-11-17,0.7,7,2,0,9
300,2022-11-18,0.44,1,0,1,2
301,2022-11-20,0.25,1,2,0,3
302,2022-11-21,0.33,1,2,0,3
303,2022-11-22,0.46,5,3,0,8
304,2022-11-23,0.08,1,8,1,10
305,2022-11-24,0.41,2,2,0,4
306,2022-11-25,0.44,3,3,0,6
307,2022-11-26,0.14,1,5,0,6
308,2022-11-28,0.29,4,4,1,9
309,2022-11-29,0.47,5,2,0,7
310,2022-11-30,0.17,1,5,0,6
311,2022-12-01,0.67,3,1,0,4
312,2022-12-02,0.12,1,2,0,3
313,2022-12-03,0.0,0,1,0,1
314,2022-12-05,0.2,2,2,1,5
315,2022-12-06,0.25,4,6,0,10
316,2022-12-07,-0.03,1,3,1,5
317,2022-12-08,0.25,1,3,0,4
318,2022-12-09,0.0,0,2,0,2
319,2022-12-11,0.05,1,2,0,3
320,2022-12-12,0.02,3,1,1,5
321,2022-12-13,0.33,1,2,0,3
322,2022-12-14,0.35,3,2,0,5
323,2022-12-15,0.21,2,4,0,6
324,2022-12-16,0.55,3,0,1,4
325,2022-12-18,0.17,1,2,0,3
326,2022-12-19,0.68,1,0,0,1
327,2022-12-20,0.0,0,3,0,3
328,2022-12-21,0.03,1,3,0,4
329,2022-12-22,0.55,2,1,0,3
330,2022-12-23,0.16,1,5,0,6
331,2022-12-24,0.0,0,2,0,2
332,2022-12-25,0.0,0,1,0,1
333,2022-12-26,-0.19,0,1,1,2
334,2022-12-27,0.65,5,1,0,6
335,2022-12-28,0.11,4,2,2,8
336,2022-12-29,0.39,4,2,1,7
337,2022-12-30,0.29,2,1,1,4
338,2022-12-31,0.99,1,0,0,1
339,2023-01-01,0.0,0,1,0,1
340,2023-01-03,-0.01,1,3,1,5
341,2023-01-04,0.15,2,6,0,8
342,2023-01-05,0.0,0,3,0,3
343,2023-01-06,0.59,4,2,0,6
344,2023-01-07,0.0,0,2,0,2
345,2023-01-08,0.08,1,0,0,1
346,2023-01-09,0.22,2,4,0,6
347,2023-01-10,0.0,0,2,0,2
348,2023-01-11,0.21,2,4,1,7
349,2023-01-12,0.49,1,1,0,2
350,2023-01-13,0.25,1,3,0,4
351,2023-01-14,0.0,0,1,0,1
352,2023-01-15,0.0,0,1,0,1
353,2023-01-17,-0.01,0,3,0,3
354,2023-01-18,0.59,3,2,0,5
355,2023-01-19,0.12,1,7,0,8
356,2023-01-20,0.28,1,2,0,3
357,2023-01-21,0.99,1,0,0,1
358,2023-01-22,0.06,1,0,1,2
359,2023-01-23,0.33,5,3,1,9
360,2023-01-24,0.31,3,3,0,6
361,2023-01-25,0.49,1,1,0,2
362,2023-01-26,0.49,2,2,0,4
363,2023-01-27,0.0,0,3,0,3
364,2023-01-28,0.0,0,3,0,3
365,2023-01-29,0.26,1,0,1,2
366,2023-01-30,0.38,4,3,0,7
367,2023-01-31,0.23,2,4,1,7
368,2023-02-01,0.14,1,5,0,6
