,Dates,Sentiment,Signal
0,2022-01-21,0.99,0.0
1,2022-01-22,0.99,0.0
2,2022-01-24,0.94,0.0
3,2022-01-25,0.92,0.0
4,2022-01-26,0.9,0.0
5,2022-01-27,0.98,0.0
6,2022-01-28,0.04,0.0
7,2022-01-29,-0.98,0.0
8,2022-01-31,0.97,0.0
9,2022-02-01,0.63,0.0
10,2022-02-03,0.82,0.0
11,2022-02-04,0.99,0.0
12,2022-02-07,-0.67,0.0
13,2022-02-08,0.96,0.0
14,2022-02-09,0.98,0.0
15,2022-02-11,0.12,0.0
16,2022-02-14,0.99,0.0
17,2022-02-15,0.94,0.0
18,2022-02-16,0.37,0.0
19,2022-02-17,0.88,0.0
20,2022-02-18,-0.07,0.0
21,2022-02-19,-0.08,0.0
22,2022-02-22,0.96,0.0
23,2022-02-23,0.96,0.0
24,2022-02-24,-0.03,0.0
25,2022-02-27,0.83,0.0
26,2022-03-01,0.64,0.0
27,2022-03-04,-0.84,0.0
28,2022-03-07,0.9,0.0
29,2022-03-08,0.97,0.0
30,2022-03-09,0.98,0.0
31,2022-03-10,0.99,0.0
32,2022-03-11,-0.99,0.0
33,2022-03-14,-0.04,0.0
34,2022-03-15,0.99,0.0
35,2022-03-16,0.98,0.0
36,2022-03-21,0.98,0.0
37,2022-03-22,0.99,0.0
38,2022-03-23,0.99,0.0
39,2022-03-24,-0.02,0.0
40,2022-03-25,0.98,0.0
41,2022-03-30,0.95,0.0
42,2022-03-31,0.3,0.0
43,2022-04-01,0.98,0.0
44,2022-04-04,0.97,0.0
45,2022-04-05,0.65,0.0
46,2022-04-06,0.08,0.0
47,2022-04-07,0.99,0.0
48,2022-04-11,0.89,0.0
49,2022-04-13,-0.92,0.0
50,2022-04-14,0.88,0.0
51,2022-04-19,0.83,0.0
52,2022-04-20,0.29,0.0
53,2022-04-21,-0.3,0.0
54,2022-04-25,-0.91,0.0
55,2022-04-27,0.27,0.0
56,2022-04-28,0.93,0.0
57,2022-04-29,0.75,0.0
58,2022-05-01,0.81,0.0
59,2022-05-03,0.97,0.0
60,2022-05-04,0.81,0.0
61,2022-05-05,0.95,0.0
62,2022-05-06,0.9,0.0
63,2022-05-10,-0.02,0.0
64,2022-05-12,0.39,0.0
65,2022-05-16,0.8,0.0
66,2022-05-17,0.98,0.0
67,2022-05-18,0.81,0.0
68,2022-05-20,0.99,0.0
69,2022-05-26,0.99,0.0
70,2022-06-06,0.76,0.0
71,2022-06-08,0.39,0.0
72,2022-06-09,0.92,0.0
73,2022-06-14,0.48,0.0
74,2022-06-15,0.88,0.0
75,2022-06-16,0.15,0.0
76,2022-06-20,0.98,0.0
77,2022-06-29,0.96,0.0
78,2022-06-30,0.93,0.0
79,2022-07-06,0.62,0.0
80,2022-07-07,0.78,0.0
81,2022-07-08,0.95,0.0
82,2022-07-11,0.98,0.0
83,2022-07-13,0.91,0.0
84,2022-07-14,0.21,0.0
85,2022-07-18,0.38,0.0
86,2022-07-19,0.96,0.0
87,2022-07-20,0.97,0.0
88,2022-07-25,0.98,0.0
89,2022-07-26,0.97,0.0
90,2022-07-27,0.91,0.0
91,2022-07-28,0.8,0.0
92,2022-07-29,0.99,0.0
93,2022-08-01,0.93,0.0
94,2022-08-02,0.97,0.0
95,2022-08-03,0.98,0.0
96,2022-08-04,0.84,0.0
97,2022-08-08,-0.32,0.0
98,2022-08-09,0.01,0.0
99,2022-08-10,0.64,0.0
100,2022-08-11,-0.54,0.0
101,2022-08-12,0.03,0.0
102,2022-08-15,0.99,0.0
103,2022-08-16,0.92,0.0
104,2022-08-18,-0.15,0.0
105,2022-08-21,0.97,0.0
106,2022-08-22,0.93,0.0
107,2022-08-23,0.98,0.0
108,2022-08-24,0.48,0.0
109,2022-08-25,0.71,0.0
110,2022-08-26,0.92,0.0
111,2022-08-27,0.97,0.0
112,2022-08-29,0.97,0.0
113,2022-08-31,-0.59,0.0
114,2022-09-01,0.94,0.0
115,2022-09-03,-0.73,0.0
116,2022-09-06,0.98,0.0
117,2022-09-07,0.51,0.0
118,2022-09-08,0.99,0.0
119,2022-09-09,0.97,0.0
120,2022-09-12,0.98,0.0
121,2022-09-14,0.99,0.0
122,2022-09-15,-0.21,0.0
123,2022-09-16,0.99,0.0
124,2022-09-20,0.77,0.0
125,2022-09-22,0.98,0.0
126,2022-09-23,0.96,0.0
127,2022-09-26,0.97,0.0
128,2022-09-27,0.99,0.0
129,2022-09-28,0.76,0.0
130,2022-09-30,0.38,0.0
131,2022-10-04,0.98,0.0
132,2022-10-05,0.97,0.0
133,2022-10-06,0.18,0.0
134,2022-10-07,0.04,0.0
135,2022-10-11,0.29,0.0
136,2022-10-13,0.31,0.0
137,2022-10-17,0.31,0.5
138,2022-10-18,0.87,0.0
139,2022-10-19,0.98,0.0
140,2022-10-24,0.97,0.0
141,2022-10-25,0.78,0.0
142,2022-10-26,0.57,0.0
143,2022-10-27,0.9,0.0
144,2022-10-28,0.95,0.0
145,2022-11-01,0.98,0.0
146,2022-11-02,0.89,0.0
147,2022-11-03,0.95,0.0
148,2022-11-07,0.36,0.0
149,2022-11-08,-0.98,0.0
150,2022-11-10,0.97,0.0
151,2022-11-14,0.98,0.0
152,2022-11-15,0.83,0.0
153,2022-11-16,0.68,0.0
154,2022-11-17,0.37,0.0
155,2022-11-30,0.98,0.0
156,2022-12-01,0.88,0.0
157,2022-12-02,-0.99,0.0
158,2022-12-07,0.95,0.0
159,2022-12-08,-0.77,0.0
160,2022-12-12,-0.89,0.0
161,2022-12-14,1.0,0.0
162,2022-12-17,0.61,0.0
163,2022-12-21,0.96,0.0
164,2022-12-22,-0.98,0.0
165,2022-12-27,-0.7,0.0
166,2022-12-28,0.99,0.0
167,2022-12-29,0.51,0.0
168,2023-01-04,0.98,0.0
169,2023-01-05,0.96,0.0
170,2023-01-09,1.0,0.5
171,2023-01-10,-0.2,0.0
172,2023-01-11,0.86,0.0
173,2023-01-12,0.97,0.0
174,2023-01-17,0.98,0.0
175,2023-01-18,0.93,0.0
176,2023-01-20,0.96,0.0
177,2023-01-21,0.51,0.0
178,2023-01-22,0.96,0.0
179,2023-01-23,0.93,0.0
180,2023-01-25,0.97,0.0
181,2023-01-26,0.95,0.0
182,2023-01-27,0.68,0.0
183,2023-01-31,0.95,0.0
184,2023-02-01,0.95,0.0
185,2023-02-02,0.44,0.0
186,2023-02-03,0.19,0.0
187,2023-02-06,0.98,0.0
188,2023-02-07,-0.1,0.0
189,2023-02-08,-0.08,0.0
190,2023-02-09,0.91,0.0
191,2023-02-10,0.99,0.0
192,2023-02-11,-0.86,0.0
193,2023-02-13,0.92,0.0
194,2023-02-14,0.97,0.0
195,2023-02-16,0.58,0.0
196,2023-02-22,0.94,0.0
197,2023-02-23,0.99,0.0
198,2023-02-24,0.99,0.0
199,2023-02-27,0.96,0.0
200,2023-02-28,0.97,0.0
201,2023-03-01,0.99,0.0
202,2023-03-02,0.95,0.0
203,2023-03-04,0.52,0.0
204,2023-03-06,-0.99,0.0
205,2023-03-07,-0.03,0.0
206,2023-03-08,0.99,0.0
207,2023-03-09,0.99,0.0
208,2023-03-10,0.96,0.0
209,2023-03-13,0.95,0.0
210,2023-03-14,0.87,0.0
211,2023-03-15,0.96,0.0
212,2023-03-20,-0.97,0.0
213,2023-03-21,0.99,0.0
214,2023-03-23,0.86,0.0
215,2023-03-25,1.0,0.0
216,2023-03-28,0.99,0.0
217,2023-03-29,0.98,0.0
218,2023-03-30,0.99,0.0
219,2023-03-31,0.92,0.0
220,2023-04-04,0.83,0.0
221,2023-04-05,0.89,0.0
222,2023-04-10,0.79,0.0
223,2023-04-11,0.24,-0.9
224,2023-04-12,-0.07,0.0
