,Dates,Sentiment,Signal
0,2022-01-03,0.99,0.0
1,2022-01-04,0.9,0.0
2,2022-01-05,0.99,0.0
3,2022-01-06,0.84,0.0
4,2022-01-07,0.99,0.0
5,2022-01-09,1.0,0.0
6,2022-01-11,1.0,0.0
7,2022-01-13,0.99,0.0
8,2022-01-14,1.0,0.0
9,2022-01-19,0.95,0.0
10,2022-01-20,0.95,0.0
11,2022-01-21,0.95,0.0
12,2022-01-24,0.98,0.0
13,2022-01-25,0.8,0.0
14,2022-01-26,0.5,0.0
15,2022-01-27,0.79,0.0
16,2022-01-28,0.88,0.0
17,2022-01-31,0.99,0.0
18,2022-02-01,0.34,0.0
19,2022-02-02,0.99,0.0
20,2022-02-03,0.99,0.0
21,2022-02-04,0.99,0.0
22,2022-02-06,0.99,0.0
23,2022-02-08,0.97,0.0
24,2022-02-09,0.85,0.0
25,2022-02-10,0.97,0.0
26,2022-02-11,0.86,0.0
27,2022-02-12,0.4,0.0
28,2022-02-14,0.57,0.0
29,2022-02-15,0.99,0.0
30,2022-02-16,-0.15,0.0
31,2022-02-17,0.67,0.0
32,2022-02-18,-0.25,0.0
33,2022-02-19,0.82,0.0
34,2022-02-22,0.95,0.0
35,2022-02-25,0.63,0.0
36,2022-02-28,0.84,0.0
37,2022-03-01,-0.51,0.0
38,2022-03-07,0.96,0.0
39,2022-03-08,0.97,0.0
40,2022-03-10,0.99,0.0
41,2022-03-22,0.99,0.0
42,2022-03-23,0.96,0.0
43,2022-03-24,0.0,0.0
44,2022-03-25,0.98,0.0
45,2022-03-29,0.99,0.0
46,2022-03-30,0.35,0.0
47,2022-03-31,1.0,0.0
48,2022-04-01,0.99,0.0
49,2022-04-04,0.97,0.0
50,2022-04-08,0.94,0.0
51,2022-04-11,0.92,0.0
52,2022-04-14,0.95,0.0
53,2022-04-19,0.83,0.0
54,2022-04-25,-0.91,0.0
55,2022-04-26,0.3,0.0
56,2022-04-28,0.94,0.0
57,2022-04-29,0.58,0.0
58,2022-05-02,0.96,0.0
59,2022-05-03,0.95,0.0
60,2022-05-05,0.82,0.0
61,2022-05-06,0.74,0.0
62,2022-05-09,0.93,0.0
63,2022-05-10,0.98,0.0
64,2022-05-12,0.96,0.0
65,2022-05-19,-0.99,0.0
66,2022-05-20,0.01,0.0
67,2022-05-25,0.98,0.0
68,2022-05-26,-0.33,0.0
69,2022-06-02,0.94,0.0
70,2022-06-07,0.99,0.0
71,2022-06-13,0.99,0.0
72,2022-06-14,0.99,0.0
73,2022-06-15,0.96,0.0
74,2022-06-22,0.95,0.0
75,2022-06-24,0.99,0.0
76,2022-06-29,0.97,0.0
77,2022-06-30,-0.62,0.0
78,2022-07-07,0.78,0.0
79,2022-07-12,-0.94,0.0
80,2022-07-14,0.97,0.0
81,2022-07-15,0.97,0.0
82,2022-07-18,0.75,0.0
83,2022-07-19,1.0,0.0
84,2022-07-21,0.94,0.0
85,2022-07-26,0.97,0.0
86,2022-07-27,0.97,0.0
87,2022-08-02,0.97,0.0
88,2022-08-05,0.89,0.0
89,2022-08-08,0.22,0.0
90,2022-08-09,0.51,0.0
91,2022-08-11,-0.82,0.0
92,2022-08-12,-0.92,0.0
93,2022-08-18,0.97,0.0
94,2022-08-22,0.87,0.0
95,2022-08-24,0.97,0.0
96,2022-08-25,0.99,0.0
97,2022-08-26,0.42,0.0
98,2022-08-31,0.81,0.0
99,2022-09-01,0.33,0.0
100,2022-09-02,0.99,0.0
101,2022-09-06,0.5,0.0
102,2022-09-08,0.99,0.0
103,2022-09-13,0.98,0.0
104,2022-09-14,0.89,0.0
105,2022-09-16,0.98,0.0
106,2022-09-19,0.43,0.0
107,2022-09-20,0.97,0.0
108,2022-09-21,0.96,0.0
109,2022-09-22,0.98,0.0
110,2022-09-23,0.96,0.0
111,2022-09-27,0.92,0.0
112,2022-09-29,-0.04,0.0
113,2022-09-30,0.46,0.0
114,2022-10-03,0.94,0.0
