,Dates,Sentiment,Signal
0,2022-06-07,0.98,0.0
1,2022-06-08,0.27,0.0
2,2022-06-09,0.94,0.0
3,2022-06-10,0.8,0.0
4,2022-06-11,0.96,0.0
5,2022-06-13,0.55,0.0
6,2022-06-14,0.64,0.0
7,2022-06-15,0.51,0.0
8,2022-06-16,0.19,0.0
9,2022-06-17,0.91,0.0
10,2022-06-18,0.99,0.0
11,2022-06-19,0.86,0.0
12,2022-06-20,0.28,0.0
13,2022-06-21,0.96,0.0
14,2022-06-22,0.95,0.0
15,2022-06-23,0.35,0.0
16,2022-06-24,0.94,0.0
17,2022-06-25,0.95,0.0
18,2022-06-27,0.57,0.0
19,2022-06-28,0.19,0.0
20,2022-06-29,0.91,0.0
21,2022-06-30,0.35,0.0
22,2022-07-01,0.88,0.0
23,2022-07-02,0.99,0.0
24,2022-07-04,0.98,0.0
25,2022-07-05,0.33,0.0
26,2022-07-06,0.51,0.0
27,2022-07-07,0.93,0.0
28,2022-07-08,0.9,0.0
29,2022-07-11,0.11,0.0
30,2022-07-12,-0.16,0.0
31,2022-07-13,0.95,0.0
32,2022-07-14,0.5,0.0
33,2022-07-15,0.9,0.0
34,2022-07-17,1.0,0.0
35,2022-07-18,0.41,0.0
36,2022-07-19,0.31,0.0
37,2022-07-20,0.13,0.0
38,2022-07-21,0.88,0.0
39,2022-07-22,0.4,0.0
40,2022-07-23,1.0,0.0
41,2022-07-25,0.56,0.0
42,2022-07-26,0.97,0.0
43,2022-07-27,0.59,0.0
44,2022-07-28,0.48,0.0
45,2022-07-29,0.55,0.0
46,2022-07-30,0.62,0.0
47,2022-08-01,-0.09,0.0
48,2022-08-02,0.89,0.0
49,2022-08-03,0.6,0.0
50,2022-08-04,0.21,0.0
51,2022-08-05,-0.03,0.0
52,2022-08-06,0.77,0.0
53,2022-08-07,0.76,0.0
54,2022-08-08,0.5,0.0
55,2022-08-09,0.52,0.0
56,2022-08-10,0.57,0.0
57,2022-08-11,0.99,0.0
58,2022-08-12,0.96,0.0
59,2022-08-14,0.99,0.0
60,2022-08-15,0.56,0.0
61,2022-08-16,0.88,0.0
62,2022-08-17,-0.24,0.0
63,2022-08-18,0.31,0.0
64,2022-08-19,0.3,0.0
65,2022-08-20,0.81,0.0
66,2022-08-22,0.92,-0.9
67,2022-08-23,0.22,0.0
68,2022-08-24,0.52,0.0
69,2022-08-25,0.73,0.0
70,2022-08-26,0.95,0.0
71,2022-08-29,0.3,0.0
72,2022-08-30,0.48,0.0
73,2022-08-31,0.62,0.0
74,2022-09-01,0.9,0.0
75,2022-09-02,0.15,0.0
76,2022-09-03,-0.73,0.0
77,2022-09-06,0.73,0.0
78,2022-09-07,0.49,0.0
79,2022-09-08,0.54,0.0
80,2022-09-09,0.92,0.0
81,2022-09-10,-0.84,0.0
82,2022-09-11,0.99,0.0
83,2022-09-12,0.38,0.0
84,2022-09-13,0.97,0.0
85,2022-09-14,0.67,0.0
86,2022-09-15,0.87,0.0
87,2022-09-16,0.66,0.0
88,2022-09-17,0.05,0.0
89,2022-09-19,0.23,0.0
90,2022-09-20,0.84,0.0
91,2022-09-21,0.61,0.0
92,2022-09-22,0.49,0.0
93,2022-09-23,0.97,0.0
94,2022-09-26,0.44,0.0
95,2022-09-27,0.99,0.0
96,2022-09-28,0.34,0.0
97,2022-09-29,0.54,0.0
98,2022-09-30,0.4,0.0
99,2022-10-02,0.84,0.0
100,2022-10-03,0.82,0.0
101,2022-10-04,0.91,0.0
102,2022-10-05,0.6,0.0
103,2022-10-06,0.73,0.0
104,2022-10-07,0.44,0.0
105,2022-10-08,0.98,0.0
106,2022-10-09,0.94,0.0
107,2022-10-10,0.75,0.0
108,2022-10-11,0.29,0.0
109,2022-10-12,0.98,0.0
110,2022-10-13,0.55,0.0
111,2022-10-14,0.99,0.0
112,2022-10-15,0.99,0.0
113,2022-10-17,0.97,0.9
114,2022-10-18,0.7,0.0
115,2022-10-19,0.71,0.0
116,2022-10-20,0.61,0.0
117,2022-10-21,0.46,0.0
118,2022-10-24,0.81,0.0
119,2022-10-25,0.83,0.0
120,2022-10-26,-0.16,0.0
121,2022-10-27,0.52,0.0
122,2022-10-28,0.96,0.0
123,2022-10-29,0.7,0.0
124,2022-10-30,-0.66,0.0
