,Dates,Sentiment,Signal
0,2023-04-24,0.67,0.0
1,2023-04-25,0.86,0.0
2,2023-04-26,0.36,0.0
3,2023-04-27,0.77,0.0
4,2023-04-28,0.36,0.0
5,2023-05-01,0.69,-0.5
6,2023-05-02,0.33,-0.4
7,2023-05-03,0.51,0.0
8,2023-05-04,0.26,0.0
9,2023-05-06,0.92,0.0
10,2023-05-08,0.76,0.0
11,2023-05-09,0.87,0.0
12,2023-05-10,0.99,0.0
13,2023-05-11,0.79,0.0
14,2023-05-12,0.33,0.0
15,2023-05-15,0.96,0.0
16,2023-05-16,-0.02,0.0
17,2023-05-18,0.59,0.0
18,2023-05-19,0.17,0.0
19,2023-05-21,1.0,0.0
20,2023-05-22,0.97,0.0
21,2023-05-23,0.95,0.0
22,2023-05-24,0.67,0.0
23,2023-05-25,0.96,0.0
24,2023-05-26,0.59,0.0
25,2023-05-29,0.99,0.0
26,2023-05-30,0.53,0.0
27,2023-05-31,0.98,0.0
28,2023-06-01,0.98,0.0
29,2023-06-02,0.01,0.0
30,2023-06-03,-0.8,0.0
31,2023-06-04,0.84,0.0
32,2023-06-05,0.43,0.0
33,2023-06-06,0.15,0.0
34,2023-06-07,0.82,0.0
35,2023-06-09,0.92,0.0
36,2023-06-11,0.99,0.0
37,2023-06-12,-0.44,0.0
38,2023-06-13,0.34,0.0
39,2023-06-14,0.96,0.0
40,2023-06-15,0.97,0.0
41,2023-06-20,0.45,0.0
42,2023-06-21,0.97,0.0
43,2023-06-22,0.99,0.0
44,2023-06-23,-0.15,0.0
45,2023-06-26,0.82,0.0
46,2023-06-27,0.47,0.0
47,2023-06-28,-0.02,0.0
48,2023-06-29,-0.06,0.0
49,2023-06-30,0.63,0.0
50,2023-07-03,0.97,0.0
51,2023-07-05,0.03,0.0
52,2023-07-06,-0.47,0.0
53,2023-07-07,0.99,0.0
54,2023-07-10,0.98,-0.9
55,2023-07-11,0.92,0.0
56,2023-07-12,0.4,0.0
57,2023-07-13,0.81,0.0
58,2023-07-14,0.91,0.0
59,2023-07-18,0.65,0.0
60,2023-07-19,0.81,0.0
61,2023-07-20,-0.74,0.0
62,2023-07-21,0.93,0.0
63,2023-07-23,0.9,0.0
64,2023-07-24,0.98,0.0
65,2023-07-25,0.97,0.0
66,2023-07-26,0.97,0.0
67,2023-07-27,0.99,0.0
68,2023-07-28,0.95,0.0
