,Dates,Sentiment,Signal
0,2021-05-19,0.97,0.0
1,2021-05-26,0.93,0.0
2,2021-05-27,0.9,0.0
3,2021-06-02,0.98,0.0
4,2021-06-03,0.3,0.0
5,2021-07-02,0.91,0.0
6,2021-07-19,-0.35,0.0
7,2021-07-22,0.22,0.0
8,2021-08-02,0.97,0.0
9,2021-08-04,0.99,0.0
10,2021-08-09,0.86,0.0
11,2021-09-23,0.18,0.0
12,2021-10-07,1.0,0.0
13,2021-10-15,-0.78,0.0
14,2021-10-20,1.0,0.0
15,2021-10-26,0.98,0.0
16,2021-11-01,0.89,0.0
17,2021-11-15,0.04,0.0
18,2021-11-25,1.0,0.0
19,2021-12-02,0.96,0.0
20,2021-12-08,0.97,0.0
21,2021-12-09,0.92,0.0
22,2021-12-10,0.48,0.0
23,2021-12-13,0.83,0.0
24,2021-12-20,-0.85,0.0
25,2021-12-22,0.62,0.0
26,2021-12-29,0.96,0.0
27,2022-01-14,-0.92,0.0
28,2022-02-11,0.99,0.0
29,2022-02-25,0.98,0.0
30,2022-02-26,-0.87,0.0
31,2022-03-01,0.93,0.0
32,2022-03-03,0.62,0.0
33,2022-03-04,-0.86,0.0
34,2022-03-08,0.5,0.0
35,2022-03-29,0.93,0.0
36,2022-04-07,0.99,0.0
37,2022-05-11,0.92,0.0
38,2022-05-16,1.0,0.0
39,2022-05-18,0.99,0.0
40,2022-05-23,0.86,0.0
41,2022-05-25,0.98,0.0
42,2022-05-26,0.77,0.0
43,2022-05-27,0.94,0.0
44,2022-06-16,0.94,0.0
45,2022-07-01,0.39,0.0
46,2022-07-26,0.16,0.0
47,2022-08-10,0.99,0.0
48,2022-08-16,0.99,0.0
49,2022-08-17,0.99,0.0
50,2022-08-31,0.78,0.0
51,2022-09-12,-0.99,0.0
52,2022-09-16,-0.96,0.0
53,2022-09-22,0.98,0.0
54,2022-09-26,0.11,0.0
55,2022-09-27,0.68,0.0
56,2022-09-28,0.94,0.0
57,2022-09-29,-0.94,0.0
58,2022-10-06,-0.93,0.0
59,2022-10-19,0.94,0.0
60,2022-10-25,0.98,0.0
61,2022-11-14,0.94,0.0
62,2022-11-15,0.97,0.0
63,2022-11-16,0.83,0.0
64,2022-12-01,0.98,0.0
65,2022-12-08,-0.85,0.0
66,2023-01-06,0.99,0.0
67,2023-01-13,0.74,0.0
68,2023-01-18,-0.25,0.0
69,2023-01-24,0.48,0.0
70,2023-02-10,0.98,0.0
71,2023-02-27,0.73,0.0
72,2023-03-02,0.43,0.0
73,2023-03-03,0.99,0.0
74,2023-03-28,0.97,0.0
75,2023-03-31,-0.9,0.0
76,2023-05-02,0.99,-0.4
77,2023-05-16,0.81,0.0
78,2023-05-23,0.9,0.0
79,2023-05-25,0.09,0.0
80,2023-05-31,0.99,0.0
81,2023-07-20,0.99,0.0
