,Dates,Sentiment,Signal
0,2021-06-09,-0.9,0.0
1,2021-06-22,1.0,0.0
2,2021-06-28,0.99,0.0
3,2021-06-30,0.96,0.0
4,2021-07-21,0.74,0.0
5,2021-07-27,0.96,0.0
6,2021-09-08,1.0,0.0
7,2021-10-08,-0.99,0.0
8,2021-10-21,0.88,0.0
9,2021-10-24,0.54,0.0
10,2021-10-26,0.97,0.0
11,2021-10-28,0.98,0.0
12,2021-10-29,0.97,0.0
13,2021-11-01,0.93,0.0
14,2021-11-02,0.65,0.0
15,2021-11-03,0.49,0.0
16,2021-11-04,0.99,0.0
17,2021-11-08,0.78,0.0
18,2021-11-09,0.5,0.0
19,2021-11-10,-0.01,0.0
20,2021-11-11,0.99,0.0
21,2021-11-12,0.98,0.0
22,2021-11-16,0.59,0.0
23,2021-11-17,-0.45,0.0
24,2021-11-18,0.64,0.0
25,2021-11-19,0.98,0.0
26,2021-11-20,1.0,0.0
27,2021-11-21,1.0,0.0
28,2021-11-22,0.72,0.0
29,2021-11-23,0.93,0.0
30,2021-11-24,-0.0,0.0
31,2021-11-25,1.0,0.0
32,2021-11-26,0.87,0.0
33,2021-11-29,0.76,0.0
34,2021-11-30,0.25,0.0
35,2021-12-01,0.18,0.0
36,2021-12-02,0.69,0.0
37,2021-12-03,-0.81,0.0
38,2021-12-04,0.94,0.0
39,2021-12-06,0.98,0.0
40,2021-12-07,-0.11,0.0
41,2021-12-08,0.04,0.0
42,2021-12-09,0.91,0.0
43,2021-12-10,0.33,0.0
44,2021-12-13,0.97,0.0
45,2021-12-14,0.62,0.0
46,2021-12-15,0.0,0.0
47,2021-12-16,0.52,0.0
48,2021-12-17,0.42,0.0
49,2021-12-18,0.99,0.0
50,2021-12-20,0.03,0.0
51,2021-12-21,0.68,0.0
52,2021-12-22,0.93,0.0
53,2021-12-23,0.55,0.0
54,2021-12-24,0.3,0.0
55,2021-12-25,0.88,0.0
56,2021-12-27,0.5,0.0
57,2021-12-28,0.96,0.0
58,2021-12-29,1.0,0.0
59,2021-12-30,0.99,0.0
60,2021-12-31,0.42,0.0
61,2022-01-04,0.99,0.0
62,2022-01-05,0.63,0.0
63,2022-01-06,0.98,0.0
64,2022-01-07,0.99,0.0
65,2022-01-08,0.96,0.0
66,2022-01-10,0.92,0.0
67,2022-01-11,0.17,0.0
68,2022-01-12,0.77,0.0
69,2022-01-13,0.99,0.0
70,2022-01-14,0.56,0.0
71,2022-01-15,0.14,0.0
72,2022-01-17,-0.92,0.0
73,2022-01-18,0.01,0.0
74,2022-01-19,0.59,0.0
75,2022-01-20,0.01,0.0
76,2022-01-21,0.49,0.0
77,2022-01-24,0.98,0.0
78,2022-01-25,0.4,0.0
79,2022-01-26,0.97,0.0
80,2022-01-27,0.62,0.0
81,2022-01-28,0.51,0.0
82,2022-01-29,0.8,0.0
83,2022-01-31,0.92,0.0
84,2022-02-01,0.82,0.0
85,2022-02-02,0.72,0.0
86,2022-02-03,0.48,0.0
87,2022-02-04,0.82,0.0
88,2022-02-05,0.97,0.0
89,2022-02-06,0.99,0.0
90,2022-02-07,0.34,0.0
91,2022-02-08,0.96,0.0
92,2022-02-09,0.45,0.0
93,2022-02-10,0.82,0.0
