,Dates,Sentiment,Signal
0,2021-03-31,0.99,0.0
1,2021-05-05,1.0,0.0
2,2021-05-14,0.99,0.0
3,2021-05-19,0.96,0.0
4,2021-05-21,0.97,0.0
5,2021-05-24,0.98,0.0
6,2021-05-25,0.92,0.0
7,2021-05-26,0.99,0.0
8,2021-05-27,0.99,0.0
9,2021-06-08,0.89,0.0
10,2021-06-10,0.98,0.0
11,2021-06-16,0.95,0.0
12,2021-06-17,0.99,0.0
13,2021-06-18,0.98,0.0
14,2021-06-22,0.98,0.0
15,2021-06-23,0.99,0.0
16,2021-06-24,0.92,0.0
17,2021-06-28,0.98,0.0
18,2021-06-29,0.98,0.0
19,2021-06-30,0.98,0.0
20,2021-07-02,0.99,0.0
21,2021-07-06,0.98,0.0
22,2021-07-07,0.82,0.0
23,2021-07-09,0.62,0.0
24,2021-07-10,0.84,0.0
25,2021-07-15,0.96,0.0
26,2021-07-16,0.87,0.0
27,2021-07-26,0.98,0.0
28,2021-07-28,0.96,0.0
29,2021-07-29,0.96,0.0
30,2021-08-03,0.9,0.0
31,2021-08-11,0.97,0.0
32,2021-08-13,1.0,0.0
33,2021-08-16,0.72,0.0
34,2021-08-18,0.94,0.0
35,2021-08-19,0.97,0.0
36,2021-08-20,0.91,0.0
37,2021-08-23,0.99,0.0
38,2021-08-24,0.97,0.0
39,2021-08-25,0.98,0.0
40,2021-08-26,0.99,0.0
41,2021-08-27,0.96,0.0
42,2021-08-29,0.8,0.0
43,2021-09-08,0.89,0.0
44,2021-09-10,1.0,0.0
45,2021-09-14,0.99,0.0
46,2021-09-15,-0.75,0.0
47,2021-09-17,0.93,0.0
48,2021-09-24,-0.06,0.0
49,2021-10-04,0.97,0.0
50,2021-10-06,0.94,0.0
51,2021-10-12,0.75,0.0
52,2021-10-14,0.99,0.0
53,2021-10-18,0.96,0.0
54,2021-10-21,0.96,0.0
55,2021-10-26,0.99,0.0
56,2021-10-27,0.81,0.0
57,2021-11-01,0.99,0.0
58,2021-11-04,0.99,0.0
59,2021-11-08,0.99,0.0
60,2021-11-09,0.93,0.0
61,2021-11-10,0.93,0.0
62,2021-11-11,0.98,0.0
63,2021-11-12,0.98,0.0
64,2021-11-14,0.72,0.0
65,2021-11-16,0.65,0.0
66,2021-11-17,0.98,0.0
67,2021-11-18,0.89,0.0
68,2021-11-19,0.71,0.0
69,2021-11-24,0.92,0.0
70,2021-11-25,0.87,0.0
71,2021-11-26,0.83,0.0
72,2021-11-29,0.55,0.0
73,2021-11-30,0.99,0.0
74,2021-12-01,0.94,0.0
75,2021-12-02,0.96,0.0
76,2021-12-03,0.77,0.0
77,2021-12-04,0.94,0.0
78,2021-12-06,0.7,0.0
79,2021-12-07,0.99,0.0
80,2021-12-08,0.98,0.0
81,2021-12-09,0.92,0.0
82,2021-12-10,0.96,0.0
83,2021-12-13,0.99,0.0
84,2021-12-15,0.97,0.0
85,2021-12-16,0.96,0.0
86,2021-12-17,0.87,0.0
87,2021-12-18,0.92,0.0
88,2021-12-19,0.61,0.0
89,2021-12-20,0.48,0.0
90,2021-12-21,0.93,0.0
91,2021-12-22,0.92,0.0
92,2021-12-23,1.0,0.0
93,2021-12-27,-0.97,0.0
94,2021-12-30,0.88,0.0
95,2022-01-03,0.99,0.0
96,2022-01-04,0.9,0.0
97,2022-01-05,0.99,0.0
98,2022-01-06,0.84,0.0
99,2022-01-07,0.99,0.0
100,2022-01-09,1.0,0.0
101,2022-01-11,1.0,0.0
102,2022-01-13,0.99,0.0
103,2022-01-14,1.0,0.0
104,2022-01-19,0.95,0.0
105,2022-01-20,0.95,0.0
106,2022-01-21,0.95,0.0
107,2022-01-24,0.98,0.0
108,2022-01-25,0.8,0.0
109,2022-01-26,0.5,0.0
110,2022-01-27,0.79,0.0
111,2022-01-28,0.88,0.0
112,2022-01-31,0.99,0.0
113,2022-02-01,0.34,0.0
114,2022-02-02,0.99,0.0
115,2022-02-03,0.99,0.0
116,2022-02-04,0.99,0.0
117,2022-02-06,0.99,0.0
118,2022-02-08,0.97,0.0
119,2022-02-09,0.85,0.0
120,2022-02-10,0.97,0.0
121,2022-02-11,0.86,0.0
122,2022-02-12,0.4,0.0
123,2022-02-14,0.57,0.0
124,2022-02-15,0.99,0.0
125,2022-02-16,-0.15,0.0
126,2022-02-17,0.67,0.0
127,2022-02-18,-0.25,0.0
128,2022-02-19,0.82,0.0
129,2022-02-22,0.95,0.0
130,2022-02-25,0.63,0.0
131,2022-02-28,0.84,0.0
132,2022-03-01,-0.51,0.0
133,2022-03-07,0.96,0.0
134,2022-03-08,0.97,0.0
135,2022-03-10,0.99,0.0
136,2022-03-22,0.99,0.0
137,2022-03-23,0.96,0.0
138,2022-03-24,0.0,0.0
139,2022-03-25,0.98,0.0
140,2022-03-29,0.99,0.0
141,2022-03-30,0.35,0.0
142,2022-03-31,1.0,0.0
143,2022-04-01,0.99,0.0
144,2022-04-04,0.97,0.0
145,2022-04-08,0.94,0.0
146,2022-04-11,0.92,0.0
147,2022-04-14,0.95,0.0
148,2022-04-19,0.83,0.0
149,2022-04-25,-0.91,0.0
150,2022-04-26,0.3,0.0
151,2022-04-28,0.94,0.0
152,2022-04-29,0.58,0.0
153,2022-05-02,0.96,0.0
154,2022-05-03,0.95,0.0
155,2022-05-05,0.82,0.0
156,2022-05-06,0.74,0.0
157,2022-05-09,0.93,0.0
158,2022-05-10,0.98,0.0
159,2022-05-12,0.96,0.0
160,2022-05-19,-0.99,0.0
161,2022-05-20,0.01,0.0
162,2022-05-25,0.98,0.0
163,2022-05-26,-0.33,0.0
164,2022-06-02,0.94,0.0
165,2022-06-07,0.99,0.0
166,2022-06-13,0.99,0.0
167,2022-06-14,0.99,0.0
168,2022-06-15,0.96,0.0
169,2022-06-22,0.95,0.0
170,2022-06-24,0.99,0.0
171,2022-06-29,0.97,0.0
172,2022-06-30,-0.62,0.0
173,2022-07-07,0.78,0.0
174,2022-07-12,-0.94,0.0
175,2022-07-14,0.97,0.0
176,2022-07-15,0.97,0.0
177,2022-07-18,0.75,0.0
178,2022-07-19,1.0,0.0
179,2022-07-21,0.94,0.0
180,2022-07-26,0.97,0.0
181,2022-07-27,0.97,0.0
182,2022-08-02,0.97,0.0
183,2022-08-05,0.89,0.0
184,2022-08-08,0.22,0.0
185,2022-08-09,0.51,0.0
186,2022-08-11,-0.82,0.0
187,2022-08-12,-0.92,0.0
188,2022-08-18,0.97,0.0
189,2022-08-22,0.87,0.0
190,2022-08-24,0.97,0.0
191,2022-08-25,0.99,0.0
192,2022-08-26,0.42,0.0
193,2022-08-31,0.81,0.0
194,2022-09-01,0.33,0.0
195,2022-09-02,0.99,0.0
196,2022-09-06,0.5,0.0
197,2022-09-08,0.99,0.0
198,2022-09-13,0.98,0.0
199,2022-09-14,0.89,0.0
200,2022-09-16,0.98,0.0
201,2022-09-19,0.43,0.0
202,2022-09-20,0.97,0.0
203,2022-09-21,0.96,0.0
204,2022-09-22,0.98,0.0
205,2022-09-23,0.96,0.0
206,2022-09-27,0.92,0.0
207,2022-09-29,-0.04,0.0
208,2022-09-30,0.46,0.0
209,2022-10-03,0.94,0.0
210,2022-10-04,-0.97,0.0
211,2022-10-05,0.81,0.0
212,2022-10-06,-0.57,0.0
213,2022-10-07,0.09,0.0
214,2022-10-10,0.41,0.0
215,2022-10-15,0.98,0.0
216,2022-10-17,0.96,0.5
217,2022-10-18,0.98,0.0
218,2022-10-25,0.96,0.0
219,2022-10-26,0.98,0.0
220,2022-10-27,-0.73,0.0
221,2022-11-02,0.98,0.0
222,2022-11-03,0.95,0.0
223,2022-11-06,0.05,0.0
224,2022-11-08,0.98,0.0
225,2022-11-10,0.85,0.0
226,2022-11-11,0.98,0.5
227,2022-11-14,0.98,0.0
228,2022-11-15,0.99,0.0
