,Dates,Sentiment,Article
0,2023-07-28,0.9904,"2023-07-28Take Five: Big or bigger?|July 28 (Reuters) - The Bank of England is the last of the big central banks to meet before the summer break gets truly under way, but euro zone data, U.S. jobs numbers and rumblings in the China property sector will keep markets busy as the earnings season winds down. Here's a look at the week ahead in markets from Li Gu in Shanghai, Amanda Cooper, Lawrence White and Dhara Ranasinghe in London, and Ira Iosebashvili in New York 1/KEEP CALM AND BET ON STERLING When the Bank of England meets on Aug 2, policymakers will finally have something to cheer about. Inflation hasn't accelerated since February and there are signs that widespread price pressures are starting to abate. But the BoE has been routinely accused of being behind the curve. It's taken policymakers eight months to bring inflation down to 7.9%, from a peak of 11.1%. It took the ECB half that time to achieve the same rate of decline. Money markets show traders think the odds are split on a 25-bp or a 50-bp hike. Investors are all too aware of how much more work the BoE has to do. After all, they're holding the most valuable bullish bet on sterling since 2014. Meanwhile, markets will also work through the fallout from the Bank of Japan's move on Friday to make its yield curve control policy more flexible and water down its commitment to defend a cap on long-term interest rates. The Fed appears to have gone into data-dependent mode after hiking rates 25 bps on Wednesday to 5.25-5.50% - a level last seen just before 2007 housing crash. Between now and its next meeting in September, the Fed gets two sets of jobs data - and inflation numbers - to pore over. First up is July non-farm payrolls on Aug. 4. Resilient jobs growth has been a key factor in shaping investors' benign outlook on the U.S. economy, a view that - along with ebbing inflation - has helped drive rallies in stocks and other risk assets this year. Signs of an overly robust labour market could spark worries that the Fed needs to keep tightening monetary policy to contain inflation. Conversely, a steep drop-off in employment might rekindle recession fears. Megacaps Apple and Amazon meanwhile are expected to report earnings on Aug. 3. Markets are impatient. The ECB just hiked rates - as expected - again and the 'will they' or 'won't they' lift rates in September debate is well under way. So even as rate-setters head for a break, data will still push around rate bets, starting with Monday's preliminary estimate of July euro zone inflation and second quarter GDP. Overall inflation is now just half its October peak, but harder-to-break underlying price growth is hovering near historic highs and may have even accelerated again. Both measures remain above the ECB's 2% inflation target. Economists polled by Reuters forecast the euro zone economy grew 0.2% in Q2. GDP was flat in Q1 versus the previous quarter. The data could strengthen the case for a September hike. Not so fast, ECB doves might argue. After all, forward-looking indicators such as PMIs are pointing decidedly lower. HSBC (HSBA.L) on Tuesday closes out a mixed reporting season for big European banks, with investment banking revenues still dwindling as deal activity slumps, while rising rates lift more staid business lines such as corporate and retail banking. Investors are hoping for a fresh share buyback after HSBC announced a $2 billion offer last quarter and resumed paying quarterly dividends for the first time since 2019. They will also look for an increase to the bank's conservative-looking $34 billion net interest income forecast. HSBC investors have long awaited the promised land, where rising central bank interest rates lift margins from lending against its vast deposit base, but the picture is clouded in Britain by political pressure to pay stressed savers more. And China's precarious economic recovery could in turn revive fears about HSBC's nearly $10 billion exposure to the overextended commercial real state sector. Hopes for stimulus from Beijing for China's embattled property sector are well and alive, if property shares in Hong Kong and the mainland at multi-week highs are anything to go by. Removing the phrase ""houses are for living, not for speculation"" from a readout of the powerful politburo meeting fuelled those hopes, but there's been a distinct lack of concrete detail. A booming property market is seen as key to igniting lacklustre missing consumer spending in post-pandemic China. But Beijing will be wary. Memories of previous property sector bubbles are fresh and developers are still feeling the fallout. Sino-Ocean Group (3377.HK) is considering a debt deferral, Dalian Wanda Commercial Management almost defaulted, and Country Garden (2007.HK) faces mounting payment pressures in the coming months. Purchasing manager surveys in days to come are likely to offer few promising signs, after Thursday's industrial profits numbers extend the double-digit pace of declines into a sixth month. Our Standards: The Thomson Reuters Trust Principles.|0.9904"
1,2023-07-28,0.991,"2023-07-28Meta plans retention 'hooks' for Threads as more than half of users leave app|NEW YORK, July 27 (Reuters) - Meta Platforms (META.O) executives are heavily focused on boosting retention on their new Twitter rival Threads, after the app lost more than half of its users in the weeks following its buzzy launch, CEO Mark Zuckerberg told employees on Thursday. Retention of users on the text-based app was better than executives had expected, though it was ""not perfect,"" said Zuckerberg, speaking at an internal company town hall, the audio of which was heard by Reuters. ""Obviously, if you have more than 100 million people sign up, ideally it would be awesome if all of them or even half of them stuck around. We're not there yet,"" he said. Zuckerberg said he considered the drop-off ""normal"" and expected retention to grow as the company adds more features to the app, including a desktop version and search functionality. Meta is looking at adding more ""retention-driving hooks"" to entice users to return to the app, like ""making sure people who are on the Instagram app can see important Threads,"" said Chief Product Officer Chris Cox. A company spokesperson declined to comment on the meeting. The executives' comments came a day after Meta wowed investors with a rosy revenue growth forecast, a sign of a comeback for a company that faced deep skepticism over its hefty spending on the metaverse last year as ad sales plummeted. The disclosure sent Meta's shares surging 8% on Thursday. Zuckerberg told employees on the call that he believed the company's work on the augmented and virtual reality technology that would power the metaverse was ""not massively ahead of schedule, but on track."" Meta, he added, needed to get started investing in that work ahead of rivals such as Apple (AAPL.O), Google and Microsoft (MSFT.O), given their years of experience building operating systems for existing products. ""That way, we have all the tools ready for when this is ready for prime time,"" he said, predicting that mass adoption of metaverse technologies would take place in the 2030s. Zuckerberg and Cox also highlighted the company's release of an artificial intelligence model called Llama 2 this month, which it made freely available for commercial use to any developer whose services had fewer than 700 million users. The model has received more than 150,000 download requests in the week since its release, Cox said. Responding to a question on the proposed ""cage match"" against Elon Musk, Zuckerberg said he was ""not sure if it's going to come together."" Our Standards: The Thomson Reuters Trust Principles.|0.991"
2,2023-07-28,-0.6369,"2023-07-28Wagner boss' whereabouts, UN chief climate scientist says it's not too late -- and fears for Niger|Follow on Apple, Google or Spotify. Listen on the Reuters app. Read the episode transcript.   Photographs of Wagner boss Yevgeny Prigozhin appear to show him in St. Petersburg on the sidelines of Putin's summit with African leaders. Niger's turmoil prompts fear in the West of Niger drifting away. Scientists say July will be the hottest month - and we speak to the UN's new chief climate scientist about what can be done. Plus a photographer dealing with deadly wildfires. Visit the Thomson Reuters Privacy Statement for information on our privacy and data protection practices. You may also visit megaphone.fm/adchoices to opt-out of targeted advertising. Our Standards: The Thomson Reuters Trust Principles.|-0.6369"
3,2023-07-28,0.99,"2023-07-28US Senate Democrats push 'Buy America' bills ahead of tough 2024 elections|WASHINGTON, July 28 (Reuters) - Facing uphill re-election battles in 2024, vulnerable Senate Democrats are pushing legislation that promotes ""Buy America"" policies, attempting to bolster their party on a brand of economic populism they hope will keep them in the majority. The Senate Commerce Committee on Thursday advanced a bill from Democratic Senator Tammy Baldwin and Republican Senator J.D. Vance to require country of origin labeling for goods sold online, bringing them in line with brick-and-mortar goods. On Wednesday, a Senate committee approved Democratic Senator Sherrod Brown's bill requiring all American flags bought by the U.S. government to be made in the United States, and last week the Senate passed an amendment from Baldwin to an annual defense policy bill requiring the Navy to build ships in the United States with American materials. ""There's definitely momentum,"" Senator Gary Peters, a Democrat from Michigan and chair of the Senate Democrats' campaign committee, citing the COVID-19 pandemic as a galvanizing force. ""We had very efficient supply chains, but they weren't resilient. The way you get resilience is to make sure all those products are made in the United States."" Senators serve six-year terms, and Democrats hold a narrow majority in the chamber. Next year, Democrats face headwinds when more of their members will be defending seats than Republicans. Many of those Democrats come from states that former President Donald Trump won in 2016 or 2020, including Ohio, Wisconsin and Pennsylvania, all of which have major manufacturing industries and high union populations. Buy America policies are ""mom-and-apple pie issues with American voters"" that have ""virtually universal support,"" Scott Paul, president of the Alliance for American Manufacturing, said. ""In addition to having a good jobs impact, there's also a good political impact."" Although Democrats have long been the party of labor unions, Trump's anti-China, pro-American-worker message in 2016 challenged that notion after blue-collar voters without college degrees flipped to him in droves, said Nick Iacovella, vice president at the Coalition for a Prosperous America which represents domestic producers. In the aftermath of Trump's win, both parties are scrambling to ""figure out how to become the party of the 21st century American worker,"" Iacovella said. ""It boils down to, 'Voters think the China issue is important and we should be unapologetically pro-worker and anti-big business and anti-Wall St.'"" Such legislative priorities have long been pushed by Baldwin and Brown. Both will face tough re-election battles next year - Brown in Ohio, which Trump won with 53% of the vote in 2020, and Baldwin in Wisconsin, which voted by margins of less than 1% for Trump in 2016 and U.S. President Joe Biden in 2020. ""When we are using taxpayer dollars, we should be supporting U.S. jobs and small businesses,"" Baldwin said. ""Our previous president talked a lot about it, but wasn't successful in getting those provisions through."" Buy America bills often run in to opposition from corporate-minded lawmakers and pro-business associations. John Murphy, senior vice president for international policy at the U.S. Chamber of Commerce, said ""Buy America"" policies have ""serious limitations"" and impose rising costs for businesses without increasing production. But the tide among Democrats is turning against these arguments. ""People are seeing the mistakes we made as a country on China trade over the years,"" Brown told Reuters. ""Too many Democratic - really presidents in both parties, from Bush to Trump - were complicit. We lost far too many jobs."" Our Standards: The Thomson Reuters Trust Principles.|0.99"
4,2023-07-28,0.7722,"2023-07-28Taiwan returns to growth in Q2 on strong domestic demand, but exports weak|TAIPEI, July 28 (Reuters) - Taiwan's export-dependent economy returned to growth in the second quarter, helped by resilient domestic consumption, while exports remained weak as a result of flagging demand for the island's technology products amid global headwinds. Gross domestic product (GDP) expanded by a preliminary 1.45% in the April-June period versus a year earlier, the statistics agency said on Friday, beating the 0.8% growth forecast in a Reuters poll. Quarter-on-quarter, the economy expanded at a seasonally adjusted annual rate of 7.02%. GDP in the first quarter had fallen 2.87% from a year earlier, with the economy slipping into recession. Analysts attributed the recovery from a technical recession to a domestic economic rebound, while factors beyond Taiwan's shores continue to jeopardise the island's prospects. ""Looking forward to Q3, we expect domestic private sector consumption to return to normal levels...about 1.5%-2% growth,"" said Chengyu Liu of First Capital Management. ""Export demand remains weak. Taiwan's central bank will not raise interest rates"" at its next meeting in September, he said, adding that 2023 GDP growth would remain below 2%. Taiwan's exports fell more than expected in June, slumping the most in nearly 14 years, with the government predicting that a return to growth may not occur until November. Second-quarter exports dropped 16.9% compared with the same period last year, still slightly better than the first quarter's annual contraction of 19.2%. The government said in May it expects full-year 2023 growth of 2.04%, the slowest pace in nearly eight years and lower than 2.45% growth in 2022. The economy in China, Taiwan's largest export market, grew 6.3% in the second quarter, coming in under analyst forecasts, as demand weakened at home and abroad, with post-COVID momentum faltering rapidly. Taiwan is a key hub in the global technology supply chain for companies such as Apple Inc (AAPL.O), and home to the world's largest contract chipmaker, Taiwan Semiconductor Manufacturing Co Ltd (TSMC) (2330.TW), . The statistics agency will provide revised figures for the second quarter on Aug. 18, with more details and forward-looking forecasts. Our Standards: The Thomson Reuters Trust Principles.|0.7722"
5,2023-07-28,0.9081,"2023-07-28TSMC says it is ""rooted in Taiwan"" even as it expands abroad|HSINCHU, Taiwan, July 28 (Reuters) - TSMC (2330.TW) will remain ""rooted in Taiwan"", its chief executive said on Friday in a bid to allay concerns that the world's largest contract chipmaker could abandon its island home as it expands abroad. CEO C.C. Wei was speaking at the opening of a massive research and development facility that TSMC, Asia's most valuable listed company and a key Apple Inc and Nvidia Corp (NVDA.O) supplier, built in Taiwan's tech hub Hsinchu. ""We want to use this opportunity to tell all the people of Taiwan that TSMC is determined to remain rooted in Taiwan,"" Wei said. ""Recently, to respond to customer requests, we have been building a lot of production lines around the world,"" he said. ""But we've also heard deeply concerned voices asking if TSMC has already moved its core abroad."" While the company makes the bulk of its chips in Taiwan, it has committed $40 billion to building a chip factory in the U.S. state of Arizona. It is also building one in Japan and considering a second one there, and is in talks with officials in Germany about building a plant there. TSMC's overseas expansions have sparked concerns in Taiwan, where chip manufacturing is the backbone of the economy, about a ""goodbye to Taiwan"" trend amid heightened tension with China and as other countries dangle incentives to attract chipmakers. China has in recent years increased diplomatic and military pressure against Taiwan, raising concerns about the fate of the factories that dot its western coast and produce the majority of the world's most advanced chips. Beijing views democratically governed Taiwan as its own territory, a claim the government in Taipei rejects. The new home for TSMC's R&D efforts - with floor space spanning the equivalent of 42 soccer fields - will by September house more than 7,000 staff, including the researchers developing its most advanced technology as well as scholars working on exploratory research, the company said. The company broke ground on the facility in 2020. In 2022, TSMC ploughed T$162.2 billion ($5.16 billion) into R&D, up 30.1% from the previous year. ($1 = 31.4230 Taiwan dollars) Our Standards: The Thomson Reuters Trust Principles.|0.9081"
6,2023-07-28,0.9963,"2023-07-28Dow Jones index set to end 13 day winning streak|July 27 (Reuters) - The Dow Jones Industrial Average (.DJI) was on the verge of ending its longest winning streak in 36 years on Thursday, successive gains showing that Wall Street's tech-driven rally is broadening to include a wider chunk of the stock market. The Dow closed higher for 13 straight sessions through Wednesday, its longest series of positive closes since 1987, and was last down 0.5% on Thursday afternoon after gaining earlier in the session. While the S&P 500 (.SPX), which includes over 500 stocks, is many investment professionals' preferred stock market benchmark, the Dow's daily moves are widely quoted in news media, making it widely recognized by many Americans. Its recent rally comes as traders widely believe that the U.S. Federal Reserve's 25 basis point rate hike on Wednesday was the last in its campaign to control inflation. Investors are also optimistic the U.S. economy will avoid a recession. The Dow's longest-ever winning streak was 14 sessions, set in 1897, according to S&P Dow Jones Indices. Even after its recent gains, the Dow has lagged Wall Street's other main indexes in 2023. It is up 7% year to date, compared to a 18% gain in the S&P 500 and the Nasdaq's (.IXIC) 35% surge. ""The Dow has been the laggard of the big three, and now it seems to be playing catch up. I think that catch-up trade is bringing us to a healthier place,"" said Art Hogan, chief market strategist at B Riley Wealth. The Dow's 30 constituents do not include market heavyweights Tesla (TSLA.O), Meta Platforms (META.O), Nvidia (NVDA.O) or Amazon (AMZN.O), major winners in a stock market rally this year fueled by optimism about artificial intelligence and an eventual end to the Fed's rate hikes. ""We are actually seeing the market broaden out, so it's not just about seven artificial intelligence anointed darlings,"" Hogan added. Dow components Salesforce (CRM.N), Apple (AAPL.O) and Microsoft (MSFT.O) have rallied between 40% and 70% this year, making them the Dow's top performers. But the Dow has also been held back by declines of 10% or more in Amgen (AMGN.O), Chevron (CVX.N), Verizon Communications (VZ.N) and Walgreen Boots Alliance (WBA.O). Overall, nearly half of Dow constituents remain down in 2023, even after outperforming so far in July. While the Dow's recent winning streak is unusually long, its overall strength has not been exceptional. The index climbed 4.8% since July 7, compared to 3.1% increase in the Nasdaq and a 3.4% rise in the S&P 500. The Dow's last 13-day winning streak in January 1987 produced a gain of 11.1%. Our Standards: The Thomson Reuters Trust Principles.|0.9963"
7,2023-07-27,0.9231,"2023-07-27Epic Games asks US Supreme Court let App Store order take effect|July 27 (Reuters) - Epic Games on Thursday asked the U.S. Supreme Court to allow a lower court ruling to take effect against Apple Inc (AAPL.O) that could force the iPhone maker to change payment practices in its App Store. Epic, maker of the popular video game ""Fortnite,"" filed a request asking the nation's highest court to lift a July 17 decision by the San Francisco-based 9th U.S. Circuit Court of Appeals to pause its ruling that upheld an injunction against Apple. The decision gave Apple 90 days to pursue an appeal at the Supreme Court. In the closely-watched case, Epic filed its antitrust lawsuit in 2020 challenging Apple's App Store practices. The 9th Circuit in April upheld a federal judge's 2021 order that could require Apple to allow developers to provide links and buttons that direct consumers to payment options outside the App Store and avoid paying sales commissions to Apple. The trial judge had found that Apple violated California's unfair competition laws by barring developers from ""steering"" users to other ways to pay, but also that Apple's rules did not violate antitrust laws. In seeking to pause the injunction from taking effect while it readies an appeal to the Supreme Court, Apple told the 9th Circuit that the trial judge had erred in prohibiting Apple from enforcing its rules against all app developers in the United States, rather than just Epic itself. ""Apple will be required to change its business model to comply with the injunction before judicial review has been completed,"" the company told the 9th Circuit. ""The undisputed evidence establishes that the injunction will limit Apple’s ability to protect users from fraud, scams, malware, spyware, and objectionable content."" Epic told the Supreme Court on Thursday that the 9th Circuit's standard for putting cases on hold is ""far too lenient."" Our Standards: The Thomson Reuters Trust Principles.|0.9231"
8,2023-07-27,-0.128,"2023-07-27Ukraine's sappers advance slowly through Russian minefields|ZAPORIZHZHIA REGION, Ukraine, July 27 (Reuters) - Sappers fresh from the front conducted mine clearance drills in southeastern Ukraine this week, a task that is proving crucial but painstakingly slow as Ukrainian troops try to advance on Russian forces. As they trained on Wednesday, the sappers outlined the challenges they faced on the battlefield, offering an insight into why the counteroffensive has so far progressed slowly. Tasked with clearing tens of thousands of Russian mines, the sappers have to worry about booby traps, bombs and mortar attacks. Using a metal detector is often futile because of the amount of shrapnel from unexploded ordnance strewn around. ""They (the mines) are stalling the speed of the advance as we have to work very carefully,"" said Oleksandr, one of scores of sappers training at a location in the southeastern region of Zaporizhzhia that Kyiv's military told Reuters not to disclose. Oleksandr, who uses the call sign Agronomist, said NATO standards allowed for one person to advance seven square metres within four hours. ""Can you imagine that? However, that's not the case here."" he said. Ukraine has recaptured a string of villages but no big towns since launching its counteroffensive in the Russian-occupied south and east in early June. President Volodymyr Zelenskiy has acknowledged progress has been slower than desired. Russian President Vladimir Putin said on Thursday that Ukrainian attacks in the south had intensified. Hours earlier, Zelenskiy had touted ""very good results"" from the front, without providing details. Before the counteroffensive began, Russian occupying forces on the southern front had time to dig trenches and put down ""dragon's teeth"" barricades, anti-tank ditches and mines. At the training drills, a 37-year-old soldier with the call sign ""Adam's Apple"" wore special foreign-made blast boots for mine clearance. ""I don't know which country manufactured them, but they are critically important for sappers because if one steps onto an anti-personnel landmine ... the boots will save the sapper's legs,"" he said. He said he sometimes has to use a stick to probe for mines, advancing slowly when there is so much shrapnel on the ground that using a mine detector is useless. Before the probing begins, he said, sappers must survey the area while standing, lying down and kneeling. ""The perspective differs, depending on the height,"" he said. ""If there are no booby traps, the sapper will examine the soil around his feet with the mine probe. If no mine is detected, he will move forward while keeping probing the soil."" Our Standards: The Thomson Reuters Trust Principles.|-0.128"
9,2023-07-27,0.4588,"2023-07-27Automakers' demand helps STM weather softening chip market|July 27 (Reuters) - European chipmaker STMicroelectronics (STMPA.PA) on Thursday forecast higher third-quarter sales as demand from automakers helped it beat revenue forecasts in the second quarter, even as it flagged higher inventories in a sign of a weaker chip market. Chipmakers have been reporting sluggish demand, with rival Texas Instruments (TXN.O) saying earlier this week that some clients were cancelling orders, while Taiwan's TSMC (2330.TW) said last week that even booming AI chips had not offset broader market weakness. ""You know that smartphones this year overall will decrease,"" STM's Chief Executive Jean-Marc Chery said in a call with analysts. ""The inventory correction in personal electronics is going on, will still continue in Q3 as well."" The company expects third-quarter net revenue of $4.38 billion, up 1.2% from a year earlier, which JPMorgan analysts said was slightly above consensus estimates. However, the brokerage noted end-quarter inventories were 20.7% above the three-year seasonal average. STM's shares were up around 4% as of 0944 GMT, after they fell 3.5% initially. Automakers' push to make electric vehicles and develop driving assistance technology have eased challenges in the semiconductor sector also grappling with U.S.-China trade spats. STM, whose clients include Tesla (TSLA.O) and Apple (AAPL.O), credited automotive demand for the 12.7% rise in its second-quarter net revenue to $4.33 billion, slightly above analysts' consensus based on Refinitiv Eikon data. ""We will build more capacity for our European and global customers in advanced technologies and their transition to digitalisation and decarbonisation,"" Chery said. STM and Global Foundries (GFS.O) are investing some 7.5 billion euros ($8.35 billion), including French state aid, to build a major chip factory in Crolles, southeastern France. The group also sharpened its full-year outlook, expecting revenue of $17.4 billion, give or take $150 million, against its April guidance range of $17.0 billion to $17.8 billion. ($1 = 0.8984 euros) Our Standards: The Thomson Reuters Trust Principles.|0.4588"
10,2023-07-27,0.1779,"2023-07-27Tesla’s secret team, what Africa wants from Russia - and Meloni woos Washington|Follow on Apple, Google or Spotify. Listen on the Reuters app. Read the transcript here.  A Reuters report finds Tesla overstated the distance its cars could drive. The Wagner mercenary group and food supplies top the agenda as African leaders meet Vladimir Putin in Moscow. Italy’s Giorgia Meloni and Joe Biden try to find common ground at the White House. Plus, a coup in Niger and the the world mourns Sinead O’Connor. Visit the Thomson Reuters Privacy Statement for information on our privacy and data protection practices. You may also visit megaphone.fm/adchoices to opt-out of targeted advertising. Our Standards: The Thomson Reuters Trust Principles.|0.1779"
