,Dates,Sentiment,Article
0,2023-07-28,0.9493,"2023-07-28Hong Kong court rejects government bid to ban protest song|HONG KONG, July 28 (Reuters) - Hong Kong's High Court on Friday rejected a government bid to ban the protest song ""Glory to Hong Kong"", saying it could undermine freedom of expression and cause potential ""chilling effects"". The government's application for an injunction came after ""Glory to Hong Kong"" was played mistakenly at several international sporting events, instead of China's national anthem ""March of the Volunteers"". China-ruled Hong Kong does not have its own anthem but as a Chinese territory since its return from British rule in 1997, it uses China's anthem. The protest song was widely sung and played during the city's months-long pro-democracy and anti-China protests in 2019. It was later deemed unlawful after China imposed a national security law on the financial hub as part of a crackdown on dissent. In a written judgement rejecting the injunction, High Court Judge Anthony Chan wrote: ""The court recognised the engagement of the right to freedom of expression in the consideration of this application"", while noting ""chilling effects"" that might be generated if the injunction was granted. ""It is by no means over-stretched to envisage that perfectly innocent people would distance themselves from what may be lawful acts involving the song for fear of trespassing the injunction which has severe consequences,"" Chan added. ""I cannot be satisfied that it is just and convenient to grant the injunction. This application is accordingly dismissed."" When the government first applied to the court for a total ban of the song in June, including publishing or disseminating the tune, it was temporarily taken down by several distributors from several online music streaming platforms including iTunes (AAPL.O) and Spotify (SPOT.N). DGX Music, the music group behind the song, later uploaded a new version of the album on the music steaming platforms. Jailed Hong Kong pro-democracy activist and barrister Chow Hang-tung, whom the court did not allow to appear in the case, wrote in a Facebook post on July 22: ""I will continue to say what I have to say, sing what I want to sing. Glory to Hong Kong."". Hong Kong officials had also pressured Google (GOOGL.O) to change its search results to display China's anthem instead of ""Glory to Hong Kong"" when users searched for Hong Kong's national anthem, but the technology giant refused. A senior Hong Kong official, Sun Dong, said Google had told the government to first prove that the song violated local laws - thus prompting the legal move. Google parent Alphabet declined to comment. Hong Kong chief executive John Lee told reporters the government would closely examine the judgement before deciding whether to appeal. He said the government would not shirk from any measures to safeguard national security. Rights groups and journalists association welcomed the move. ""Today the Hong Kong High Court took a welcome stand and defended free speech. The Hong Kong government should respect the decision and refrain from making further attempts to censor the protest song,"" Human Rights Watch's China director Sophie Richardson, said in a statement. The head of the Hong Kong Journalists Association, Ronson Chan, said outside the court that the judgement was very reasonable. ""Exercising public power would create a chilling effect, threatening innocent people,"" Chan said. Our Standards: The Thomson Reuters Trust Principles. Thomson Reuters Jessie Pang joined Reuters in 2019 after an internship. She covers Hong Kong with a focus on politics and general news. |0.9493"
1,2023-07-27,0.9922,"2023-07-27Intel turns unexpected profit, higher forecast as PC market slide slows|July 27 (Reuters) - Chipmaker Intel (INTC.O) on Thursday posted a surprise quarterly profit as a PC market slump started to ease, and forecast third-quarter earnings above Wall Street expectations, sending its shares up about 6%. The market for personal computers has tumbled over the past year, with inventory piling up because consumers had already bought machines needed during the pandemic. But the glut has started to ease, with PC shipments falling only 11.5% in the June quarter compared to a 30% slump in each of the previous two quarters, Canalys data showed. The PC market improvement prompted Intel to forecast better margins for the third quarter. Its margins in recent quarters were nearly half its historical highs, but Intel said on Thursday it expects profit margins to improve in the second half of the year. ""Intel did outperform almost exclusively on the strength of desktop sales which rebounded from a near-record low last quarter,"" said Edward Snyder, analyst at Charter Equity Research. Intel's stock rally added nearly $9 billion to the company's market value, which in recent years has fallen far below that of rivals including Nvidia (NVDA.O), Advanced Micro Devices (AMD.O) and Broadcom (AVGO.O). After over four consecutive quarters of deep declines across its biggest segment that includes personal computers, revenue dropped 12% to $6.8 billion, from $7.7 billion in the year-ago period. Intel's foundry business, which aims to make chips for other companies and is its smallest sales contributor, reported revenue of $232 million, up from $57 million a year ago. Intel Chief Executive Officer Pat Gelsinger told Reuters that some of the foundry sales increase came from ""advanced packaging,"" a process in which Intel can combine pieces of chips made by another company to create a more powerful chip. ""There's a lot of interest in the industry for advanced packaging, because it is essential to deliver high-performance computing and AI,"" Gelsinger said. ""So we expect a lot more business coming our way in that area."" On Tuesday, the company said it would work with Swedish telecommunications gear maker Ericsson (ERICb.ST) on a chip that Intel will fabricate with its most advanced manufacturing technology it has disclosed. Sales in Intel's data center and artificial intelligence business fell 15% to $4 billion from $4.7 billion in the year-ago quarter. Those results beat Wall Street estimates, but reflect that cloud majors Microsoft (MSFT.O) and Alphabet expect to ramp up spending on data centers with most of the spending benefiting Nvidia (NVDA.O) that makes chips for AI. The focus on chips that are suited for AI computing in the cloud have hurt the market for server chips for Intel, as has a sluggish recovery in China. ""It is still very clear that Intel is absolutely losing share around server CPUs, and I think it is fair to say that they are fighting for relevance in AI,"" said Jenny Hardy, portfolio manager at GP Bullhound that owns AMD and Nvidia stock. An inventory glut in server central processing units (CPUs), will persist until the second half of the year, Gelsinger said on the conference call, and that data center chip sales will decline modestly in the third quarter before recovering in the fourth quarter. Gelsinger said right now Intel has enough customer orders to sell at least $1 billion worth of its AI chips through 2024. Intel forecast adjusted current-quarter earnings per share of 20 cents. Analysts polled by Refinitiv expected 16 cents. It forecast adjusted revenue of about $12.9 billion to $13.9 billion, compared to estimates of $13.23 billion. The midpoint of $13.4 billion exceeded estimates but still implies a 12.6% drop over the year in Intel's business. Intel forecast adjusted gross margin of 43% for the third quarter, compared to estimates of 40.6%. Intel shares have risen about 30% so far this year, compared to a 50% rise on the Philadelphia SE Semiconductor index (.SOX) in anticipation of an industry recovery. Our Standards: The Thomson Reuters Trust Principles. Thomson Reuters Chavi reports on U.S. technology companies, including semiconductor firms. Her work usually appears on the Technology and Business sections. |0.9922"
2,2023-07-27,0.9877,"2023-07-27Roku shares surge as better ad spending powers upbeat revenue forecast|July 27 (Reuters) - Roku (ROKU.O) forecast upbeat third-quarter revenue and posted market-beating results for the second quarter on improved ad sales, sending the shares of the streaming device maker up 9% after the bell. After several months of muted spending, companies are raising their expenditure on ads on signs of cooling inflation and improving consumer sentiment. ""We have begun to see some ad verticals improve, which resulted in modest YoY platform revenue growth in Q2, and we are well positioned to re-accelerate growth as the ad market recovers,"" company executives said in a letter to shareholders. Roku expects $815 million in net revenue in the July-September period, higher than analysts' projection of $809.6 million, according to Refinitiv data. Chief Financial Officer Dan Jedda said the pickup in ad spending is coming from the consumer products, and health and wellness industries, while tech, media and entertainment remains challenged. Roku's strong guidance comes after large digital platforms Meta Platforms (META.O) and Alphabet (GOOGL.O) delivered upbeat results on higher digital ad sales. ""In addition to capturing advertising dollars shifting from traditional linear distribution to over-the-top, Roku has made progress in clawing away spend from other digital channels,"" said Third Bridge analyst Jamie Lumley. Roku, which offers streaming devices and also has its own ad-supported channel, posted better-than-expected results for the quarter ended June. Net revenue grew 11% to $847.2 million, above estimates of $774.5 million, while adjusted loss came in at 76 cents per share, lower than the estimate of $1.26. The company said it added 1.9 million ""active accounts"" from the previous quarter to 73.5 million. Our Standards: The Thomson Reuters Trust Principles.|0.9877"
3,2023-07-27,0.9956,"2023-07-27Facebook parent Meta sees advertising jump, tops Wall Street targets|July 26 (Reuters) - Meta Platforms (META.O) on Wednesday reported a strong rise in advertising revenue, topping Wall Street financial targets for the second quarter and forecasting third-quarter revenue above market expectations. The results from Meta, Facebook's parent company, come a day after a strong performance from Alphabet's (GOOGL.O) Google and make the case that consumers, and the advertisers eager to reach them, are spending despite broad economic concerns. Still, the company also forecast that expenses would rise in both 2023 and 2024, citing costs including legal fees and increased spending on infrastructure considered key to the tech sector's feverish AI race. That spending comes after aggressive cost-cutting in other parts of the company, including safety teams and basic business functions. Meta shares were up 7.5% in after-hours trade. ""We continue to see strong engagement across our apps and we have the most exciting roadmap I've seen in a while with Llama 2, Threads, Reels, new AI products in the pipeline, and the launch of Quest 3 this fall,"" Meta Chief Executive Mark Zuckerberg said. Meta's second-quarter revenue grew 11% to $32 billion in the quarter ended June 30, compared with analysts' average estimate of $31.12 billion. Ad revenue rose 12% in the quarter, faster than growth at Google, where ad revenue rose 3%. Adjusted earnings per share of $2.98 topped Wall Street targets of $2.91, according to data from Refinitiv. The social media giant has been climbing back from a bruising 2022, buoyed by hype around emerging AI technology and an austerity drive in which it has shed around 21,000 employees since last fall. The company's shares have more than doubled in value this year as a result. Advertisers are reinforcing those gains by pumping money into digital ads again after months of muted spending, heartened by signs that the economy may overcome a bout of high inflation without suffering a major meltdown. Brands are hedging their bets, however, and sticking with tried and true platforms. That helps Meta and Alphabet while punishing smaller players like Snap (SNAP.N), which reported disappointing sales on Tuesday. Meta's revenue forecast did not specify whether the figure includes any sales that might come from the recently launched Threads app, which does not yet have ads. The revenue gains provide relief as Meta makes massive investments to upgrade its data centers and stay competitive in an emerging arms race around AI technology, while continuing to invest more than $10 billion a year in a longer-term bet on ""metaverse"" hardware and software. Meta cut its capital expenditure forecast for 2023, driven in part by pushing some costs related to artificial intelligence into 2024, when capex is expected to grow. Zuckerberg told investors that executives were ""debating heavily"" how much AI capacity to bring online to prepare for a potential explosion in need. He saw three product categories for AI: features for advertisers, AI agents on chat and internal company productivity tools. He said he envisioned some revenue coming from Meta's recently released Llama 2 model, which is largely open source but requires a license for use by companies with more than 700 million users. ""We want this to be open. But if you're someone like Microsoft or Amazon or Google and you're going to basically be reselling these services, that's something that we think we should get some portion of the revenue for,"" Zuckerberg said. Meta's Reality Labs unit, which is responsible for developing metaverse-oriented technology like augmented reality glasses, reported sales of $276 million, down from $452 million in the same quarter last year. The unit lost $3.7 billion in the second quarter, putting it on track to have far higher costs than the $5 billion annual target set out in a widely circulated investor note in the fall. The unit has lost more than $40 billion since 2021, including $13.7 billion last year. Meta said it expected Reality Labs operating losses to ""increase meaningfully"" in 2024 as the company continued to invest in augmented and virtual reality and ""scale our ecosystem."" Zuckerberg had previously said Meta would ""pace"" investments in the division after 2023. He told investors he understood why many of them would feel discomfort over such a long-term bet. The company expects 2023 total expenses in the range of $88 billion to $91 billion, compared with its previous forecast of $86 billion to $90 billion, citing ""legal-related expenses."" Meta said second-quarter expenses included legal costs of $1.87 billion, mostly related to a fine by Ireland's Data Protection Commissioner in May for transferring user information to the United States. The fine itself was 1.2 billion euros ($1.3 billion). It said it expected ""higher infrastructure-related costs"" in 2024, as well as growth in payroll expenses ""as we evolve our workforce composition toward higher-cost technical roles."" Our Standards: The Thomson Reuters Trust Principles.|0.9956"
4,2023-07-26,0.9961,"2023-07-26U.S. stocks close little changed as Fed leaves door open|July 26 (Reuters) - U.S. stocks ended Wednesday little changed following a Federal Reserve rate hike that left the door open for future hikes, but the Dow (.DJI) scored a 13-day winning streak. The Fed lifted its benchmark overnight interest rate by a widely expected 25 basis points, marking the 11th hike in the U.S. central bank's past 12 policy meetings. Fed Chair Jerome Powell said in a press conference the central bank will make decisions meeting by meeting, closely watching economic data, but noted that a rate cut is very unlikely this year. Goldman Sachs said in a note to clients that the Fed's statement did not signal a slower pace of hikes in the future, but that the bank was expecting a hold in September. ""The message for the market was that it didn't move the needle. There's always a fear of a big surprise,"" said Angelo Kourfafas, investment strategist at Edward Jones. Powell's message was clearly that the Fed will wait and see economic data to make new decisions, said Brent Schutte, chief investment officer at Northwestern Mutual Wealth Management. ""I think the Fed won't stop until they see wage inflation down."" Following long-awaited earnings on Tuesday, big tech companies' shares had mixed reactions. Microsoft (MSFT.O) eased 3.72% after laying out an aggressive spending plan to meet demand for its new artificial intelligence (AI)-powered services. The Windows maker still surpassed estimates for quarterly revenue and profit. Alphabet (GOOGL.O) gained 5.78% after the Google parent's second-quarter profit exceeded Wall Street expectations on steady demand for its cloud services and a rebound in advertising. The NYSE FANG+ index (.NYFANG), which houses many megacap growth names, dropped 0.72%. The index has rallied roughly 75% so far this year on optimism over AI and hopes that the Fed is nearing the end of its rate hiking cycle. ""After extreme gains so far this year in big tech stocks, we have now moved to a phase where each company's stock price is very non-correlated to one another,"" said David Bahnsen, chief investment officer of the Bahnsen Group. [1/2]A trader works on the floor of the New York Stock Exchange (NYSE) in New York City, U.S., July 24, 2023.  REUTERS/Brendan McDermid/File Photo Meta Platforms (META.O) rose 1.39% after Alibaba's cloud unit said it would support the Facebook owner's open-source AI model, Llama. As of Wednesday, 77.6% of the 152 companies listed on the S&P 500 (.SPX) that have reported earnings have beaten analysts' expectations as compiled by Refinitiv. The Dow Jones Industrial Average (.DJI) rose 82.05 points, or 0.23%, to 35,520.12; the S&P 500 (.SPX) lost 0.71 points, or 0.02%, at 4,566.75; and the Nasdaq Composite (.IXIC) dropped 17.27 points, or 0.12%, to 14,127.28. Volume on U.S. exchanges was 9.92 billion shares, compared with the 10.32 billion average for the full session over the last 20 trading days. The Dow (.DJI) seesawed but ended higher, underpinned by a gain in Boeing (BA.N) after the planemaker posted a smaller-than-expected quarterly loss, along with a surge in cash flows. It marked its longest winning streak since 1987, with 13 straight days of gains. Snap (SNAP.N) sank 14.23% after the photo messaging app owner gave a weaker-than-expected third-quarter forecast as it struggles to compete with tech giants for advertising dollars. Union Pacific (UNP.N) gained 10.42% after the railroad operator appointed Jim Vena as chief executive to succeed Lance Fritz. Wells Fargo (WFC.N) climbed 2.11% after the bank's board authorized a new share buyback program of up to $30 billion. Advancing issues outnumbered decliners on the NYSE by a 1.75-to-1 ratio; on Nasdaq, a 1.64-to-1 ratio favored advancers. The S&P 500 posted 29 new 52-week highs and no new lows; the Nasdaq Composite recorded 72 new highs and 92 new lows. Our Standards: The Thomson Reuters Trust Principles. Thomson Reuters Bansari reports on the global financial markets and writes Reuters' daily flagship market reports on equities, bonds and currencies. An economist by training and winner of the Arthur MacEwan Award for Excellence in Political Economy, she has written for renowned global papers and magazines including The Diplomat, Boston Globe, Conversation, Huffington Post and more. |0.9961"
5,2023-07-26,0.9795,"2023-07-26Morning Bid: China realism returns, Powell has spoken|July 27 (Reuters) - A look at the day ahead in Asian markets from Jamie McGeever, financial markets columnist. A sense of cautious optimism could be the tone across Asia early on Thursday as China's markets cool down, investors welcome fairly balanced comments from Federal Reserve Chair Jerome Powell, and await the European Central Bank's rate decision. After a volatile start to markets this week, the concentration of major 'event risk' - the Fed and ECB meetings, the Bank of Japan's policy decision on Friday and potential details on China's stimulus measures - may be keeping investors from taking big bets. That said, some big earnings reports from some of the biggest U.S. tech firms continue to roll in, meaning there could be big price swings in individual stocks and sectors under the hood of the broader indices. This was in evidence on Wednesday on Wall Street. The Nasdaq fell only 0.1% and 'big tech' fell less than 1% but that masked huge moves in some shares which added or wiped out tens of billions of dollars of market cap. Microsoft fell 4%, Snap plunged 15%, while Alphabet surged 5.5%. Shares in Meta jumped 7% in after hours trade after the Facebook owner reported stronger-than-expected Q2 revenues and forecast strong Q3 revenues. Investors in Asia will also wake up to the 11th U.S. interest rate hike since the Fed began hiking rates last year - and the highest rates in 22 years - and a fairly balanced policy outlook for the coming months from Fed Chair Jerome Powell. He left the door open to further tightening but also said the Fed could stay on hold if the data warranted and stressed that decisions will be made on a meeting by meeting basis. His measured remarks helped ensure a fairly subdued day on Wall Street. The Dow Jones Industrials rose 0.24%, insignificant in itself but at the same time historic - it was the 13th consecutive daily rise, the index's longest winning streak since January 1987. Few would have imagined then that the market's biggest ever fall - the 22% crash on Black Monday - was only nine months away. Back in Asia, a sense of realism returned over the expected measures from Beijing to revitalize the economy. After outsized gains on Tuesday - a 14% surge in property stocks - major indices in China and Hong Kong closed in the red. The main event on Thursday's economic calendar is Chinese industrial profits for June, which could underline how weak the economy has been since Covid restrictions were lifted. Profits have been falling every month for a year, registering double-digit declines every month so far this year. They slumped 18.8% in May. Here are key developments that could provide more direction to markets on Thursday: - China industrial profits (June) - Australia import and export prices (Q2) - European Central Bank policy decision Our Standards: The Thomson Reuters Trust Principles. Thomson Reuters Jamie McGeever has been a financial journalist since 1998, reporting from Brazil, Spain, New York, London, and now back in the U.S. again. Focus on economics, central banks, policymakers, and global markets - especially FX and fixed income. Follow me on Twitter: @ReutersJamie|0.9795"
6,2023-07-26,0.9781,"2023-07-26Waymo to focus on ride-hailing services, pushes back autonomous trucking efforts|July 26 (Reuters) - Alphabet Inc's (GOOGL.O) Waymo is focusing on its ride-hailing service, Waymo One, while pushing back its efforts to develop commercial autonomous trucking technology, the self-driving unit said on Wednesday. Autonomous driving software has come under strong regulatory scrutiny at a time when investors are concerned about heavy investments in the technology amid protracted development timelines. The company said it is seeing significant growth and demand for ride-hailing services in San Francisco, Phoenix and Los Angeles, and is focusing on achieving commercial success in the business. Waymo said it will continue its collaboration with strategic partner Daimler Truck North America to take its autonomous trucking platform forward. ""Laser-focusing on ride-hailing today puts us, our partners, and our customers in a strong position to be successful in the future across all of the business lines we pursue over time,"" the company said. The unit's Waymo Driver technology is used in a variety of use cases, from ride-hailing to trucking. ""We continue to see a significant future commercial opportunity for our trucking solution alongside other commercial applications of the Waymo Driver,"" Waymo said. Our Standards: The Thomson Reuters Trust Principles.|0.9781"
7,2023-07-26,0.992,"2023-07-26Big Tech under pressure as Microsoft results put AI costs in spotlight|July 26 (Reuters) - A number of U.S. big tech companies fell on Wednesday as Microsoft's results signaled how the high-stakes battle for AI supremacy will cost the tech giants that have seen their shares rally in recent months on hype around the technology. Microsoft's (MSFT.O) shares fell 3.6% in early trading as the company laid out an aggressive AI-related spending plan, saying deeper investments in AI are required before gains trickle to the bottom line. Microsoft is set to shed about $100 billion from its market capitalization if the loses hold until close of trading. Its shares had gained 46.4% up to yesterday's close. ""AI will generate a lot of revenue and earnings for such firms, but a lot of investors have been buying the rumor and now that we have earnings, they are taking profits,"" Paul Nolte, senior wealth advisor and market strategist for Murphy & Sylvest said. ""There's still a lot of excitement around AI, but nobody quite understands what that means for the bottom line of many of these companies."" The NYSE FANG+ index (.NYFANG), which houses many megacap growth names, was down 0.2%. The index has risen about 76% so far this year, driven by the frenzy around AI. Google-parent Alphabet (GOOGL.O) was an outlier. Its shares rose 5.6% after the company beat expectations for second-quarter results. Alphabet looks set to add about $100 billion to its market capitalization. The recent rally has driven up Microsoft's valuation. The stock is trading at 31 times 12-month forward earnings, compared to a PE multiple of 20 for Alphabet. ""The tech earnings season has started on a mixed note,"" said Mark Haefele, global wealth management chief investment officer at UBS in a client note. ""The tone set by quarterly results over the next week will be crucial to the performance of tech stocks through the rest of the third quarter."" Apple Inc (AAPL.O), the world's most valuable publicly listed company, and Amazon.com Inc (AMZN.O) are set to report quarterly earnings next week. FED FEARS vs. AI BOOST Investors also remained cautious on Wednesday, with Wall Street's main indexes muted ahead of a likely Federal Reserve interest rate hike later in the day that could push borrowing costs to their highest since the global financial crisis. Large tech companies, which rely heavily on borrowed money, have been pressured since the Fed started its tightening cycle to tame inflation. However, optimism over AI and hopes that the Fed is nearing the end of its rate hiking cycle have supported tech stocks in recent months. Stuart Cole, chief macro economist at Equiti Capital, said tech stocks tend to be fairly exposed to such sentiment around central bank policy as many of them are reliant on robust economic growth to deliver the returns they promise. ""There are valid concerns that the U.S. economy is weakening, but until the Fed sees sustained evidence of softening inflationary pressures, the hawkish stance will be maintained, even at the risk of tipping the economy into negative growth."" Meta Platforms Inc's (META.O) shares rose 1.0% after Alibaba's (9988.HK) cloud computing division said it has become the first Chinese enterprise to support the company's open-source artificial intelligence (AI) model Llama. Amazon shares dropped 1.3% after a media report said the Federal Trade Commission is finalizing an antitrust lawsuit against Amazon. Snap Inc (SNAP.N) shares tumbled 18.3% after the photo messaging app-owner reported a weaker third-quarter forecast than analysts had expected on Tuesday. ""Band-Aids not fixing bullet holes yet,"" wrote Bernstein stock analyst, Mark Shmulik. The company's Snapchat app has added a new AI-powered chatbot that can answer questions to attract more users, but Shmulik notes the company has struggled to consistently grow revenue and catch up to rivals like Facebook-owner Meta. ""Snapchat is running to stay in the same place while peers enviously get back on the ad growth track,"" Shmulik said. Our Standards: The Thomson Reuters Trust Principles. Thomson Reuters Reports on highly consequential global financial markets, covering a range of asset classes. Have been in the game for over 5 years. Reach her at - +917483273460 |0.992"
8,2023-07-26,0.9836,"2023-07-26AI lesson for Microsoft and Google: Spend money to make money|July 25 (Reuters) - Artificial intelligence is expected to pay off big for tech giants including Microsoft (MSFT.O) and Alphabet (GOOGL.O) someday. But expect deeper investments before gains trickle to the bottom line, the companies said on Tuesday. Microsoft said costs rose sharply as it built new data centers to support AI and that capital expenditures will continue to rise as it buys chips from the likes of Nvidia Corp (NVDA.O) to power those data centers. The Windows maker's shares were down more than 3% on Wednesday, while Alphabet gained nearly 7%. Microsoft is bearing AI costs in two ways, analysts said: to power its own products such as its forthcoming $30-a-month Copilot AI assistant, and to serve companies wanting to use its Azure cloud computing services to create AI products. Microsoft executives said the service will start generating the bulk of its revenue in the second half of its fiscal 2024 ending June 30. ""They're buying a bunch of H100s,"" said Ben Bajarin, chief executive and principal analyst of Creative Strategies, referring to Nvidia's flagship chips for AI. ""You're probably going to see a similar thing with Amazon (AMZN.O), if not this quarter then the next quarter, because both of them are the clouds that the vast majority of the market is using for training (AI systems) right now."" Alphabet, however, kept down costs, though not for long. Chief Financial Officer Ruth Porat, who will become president and chief investment officer, said delays in data center construction are why second-quarter capex was lower than expected. ""As far as AI is concerned, while Google may have spent upwards of $200 billion on AI investments over the past decade, much of that isn't necessarily appreciated by users and investors,"" said Scott Kessler, global sector lead for technology media and telecommunications at Third Bridge. One advantage Google has, analysts said, is that it has its own custom chip for handling AI work called the Tensor Processor Unit (TPU), which helps lower costs. Microsoft may be ""aggressively buying Nvidia chips, given Microsoft does not have its own silicon as an alternative,"" said Atlantic Equities analyst James Cordwell. But Google conceded that it will buy chips from other companies as well as using its own, and Porat said that spending could put a drag on profit and growth. ""The message on inflection point was the same,"" from Microsoft and Google, said Gene Munster, managing partner at Deepwater Asset Management, ""but the difference was Microsoft investors wanted to see more."" Our Standards: The Thomson Reuters Trust Principles. Thomson Reuters Akash reports on technology companies in the United States, electric vehicle companies, and the space industry. His reporting usually appears in the Autos & Transportation and Technology sections. He has a postgraduate degree in Conflict, Development, and Security from the University of Leeds. Akash's interests include music, football (soccer), and Formula 1.|0.9836"
9,2023-07-26,0.981,"2023-07-26Alphabet rallies as Google Search unfazed by challenge from Microsoft's Bing|July 26 (Reuters) - Alphabet (GOOGL.O) rallied more than 5% on Wednesday on signs its dominant Google Search business was faring well in an uncertain advertising market and remained unscathed in the face of competition from an AI-powered Microsoft Bing. The world's fourth most valuable firm was on track to add more than $80 billion to its market capitalization. Its shares have rallied 39% this year on the hype around artificial intelligence. Wall Street analysts said the company's better-than-expected quarterly earnings showed the strong position of Google Search, steady growth in the cloud business and that Alphabet was well placed to compete with Microsoft in AI. ""Don't call it an AI comeback,"" said analysts at Jefferies, adding that Google has been an AI-first company for seven years. Jefferies was among the 27 brokerages that raised their price targets, with several of them saying AI had started to contribute to Google's cloud revenue and helped drive a 28% growth in the quarter that widely surpassed expectations. Alphabet has rolled out a series of AI products this year and revamped its search engine with the technology as it competes with Microsoft in a race to dominate the nascent field. ""Contrary to fears, AI everywhere is not, at least now, causing margin indigestion, or disrupting search. On the contrary, it appears to have potential to make Google a share-gainer in cloud services,"" Rosenblatt Securities analyst Barton Crockett wrote in a note to clients. Microsoft also topped expectations on Tuesday, powered by growth in its Azure cloud unit - the part of its business best situated to capitalize on the booming interest in AI. But its shares were down 3.3% on worries that investments in the technology behind ChatGPT were driving up costs. The median price target on Alphabet now stands at $145, which is nearly 19% higher than the stock's last close. The company has a 12-month forward price-to-earnings ratio of 20.51, compared with Microsoft's 31.11 and the industry median of 15.29. Our Standards: The Thomson Reuters Trust Principles.|0.981"
