,Dates,Sentiment,Article
0,2023-07-28,-0.7351,"2023-07-28Malaysia reverses plan to take legal action against Meta over harmful content|KUALA LUMPUR, July 28 (Reuters) - Malaysia may not go through with a plan to take legal action against Facebook parent Meta Platforms (META.O) following ""positive"" engagement with the firm on tackling harmful content on the social media platform, communications minister Fahmi Fadzil said in an interview on Friday. Last month, the Malaysian Communications and Multimedia Commission (MCMC) said it would take legal action against Meta for failing to act against ""undesirable"" content relating to race, royalty, religion, defamation, impersonation, online gambling, and scam advertisements. Fahmi said Meta had since given a firm commitment to work with Malaysian authorities, including the regulator and the police, to tackle such posts on its platforms. ""I don't think MCMC needs at this point in time to initiate any legal action. I think this level of cooperation is very positive,"" he said, adding that the government was considering measures such as fines against social media platforms if they failed to tackle harmful content. Facebook is Malaysia's biggest social media platform, with an estimated 60% of the country's 33 million people having a registered account. Fahmi dismissed concerns raised over increased government scrutiny of online content, and denied issuing orders to take down several opposition-linked news sites and social media accounts in recent weeks. The take-downs, he said, were likely to have been made in response to complaints made by ordinary users for violating social media guidelines. The outages came as Malaysia prepares to hold regional elections next month that will pit Prime Minister Anwar Ibrahim's administration against a conversative Malay-Muslim alliance. The government did not intend to curb freedom of expression, but drew the line at content touching on race, religion, and royalty, Fahmi said. ""Those who cry out, saying that we are an iron-fisted dictatorship, I think they’re being a tad bit dramatic,"" he said. Race and religion are thorny issues in Malaysia, which has a majority of mainly Muslim ethnic Malays alongside significant Chinese and Indian minorities. Malaysia also has laws prohibiting insults against its sultans, who play a largely ceremonial role. An opposition figure was charged this month with sedition for allegedly insulting them. Separately, Fahmi said Malaysia's major telecommunications firms will form the country's second 5G network, as part of the government's plan to end a monopoly held by state-owned 5G agency Digital Nasional Berhad (DNB). The firms, which have agreed to take up stakes in DNB and use its network, will split to form the second 5G entity when coverage reaches 80% of populated areas, Fahmi said. Our Standards: The Thomson Reuters Trust Principles.|-0.7351"
1,2023-07-28,0.991,"2023-07-28Meta plans retention 'hooks' for Threads as more than half of users leave app|NEW YORK, July 27 (Reuters) - Meta Platforms (META.O) executives are heavily focused on boosting retention on their new Twitter rival Threads, after the app lost more than half of its users in the weeks following its buzzy launch, CEO Mark Zuckerberg told employees on Thursday. Retention of users on the text-based app was better than executives had expected, though it was ""not perfect,"" said Zuckerberg, speaking at an internal company town hall, the audio of which was heard by Reuters. ""Obviously, if you have more than 100 million people sign up, ideally it would be awesome if all of them or even half of them stuck around. We're not there yet,"" he said. Zuckerberg said he considered the drop-off ""normal"" and expected retention to grow as the company adds more features to the app, including a desktop version and search functionality. Meta is looking at adding more ""retention-driving hooks"" to entice users to return to the app, like ""making sure people who are on the Instagram app can see important Threads,"" said Chief Product Officer Chris Cox. A company spokesperson declined to comment on the meeting. The executives' comments came a day after Meta wowed investors with a rosy revenue growth forecast, a sign of a comeback for a company that faced deep skepticism over its hefty spending on the metaverse last year as ad sales plummeted. The disclosure sent Meta's shares surging 8% on Thursday. Zuckerberg told employees on the call that he believed the company's work on the augmented and virtual reality technology that would power the metaverse was ""not massively ahead of schedule, but on track."" Meta, he added, needed to get started investing in that work ahead of rivals such as Apple (AAPL.O), Google and Microsoft (MSFT.O), given their years of experience building operating systems for existing products. ""That way, we have all the tools ready for when this is ready for prime time,"" he said, predicting that mass adoption of metaverse technologies would take place in the 2030s. Zuckerberg and Cox also highlighted the company's release of an artificial intelligence model called Llama 2 this month, which it made freely available for commercial use to any developer whose services had fewer than 700 million users. The model has received more than 150,000 download requests in the week since its release, Cox said. Responding to a question on the proposed ""cage match"" against Elon Musk, Zuckerberg said he was ""not sure if it's going to come together."" Our Standards: The Thomson Reuters Trust Principles.|0.991"
2,2023-07-28,0.9963,"2023-07-28Dow Jones index set to end 13 day winning streak|July 27 (Reuters) - The Dow Jones Industrial Average (.DJI) was on the verge of ending its longest winning streak in 36 years on Thursday, successive gains showing that Wall Street's tech-driven rally is broadening to include a wider chunk of the stock market. The Dow closed higher for 13 straight sessions through Wednesday, its longest series of positive closes since 1987, and was last down 0.5% on Thursday afternoon after gaining earlier in the session. While the S&P 500 (.SPX), which includes over 500 stocks, is many investment professionals' preferred stock market benchmark, the Dow's daily moves are widely quoted in news media, making it widely recognized by many Americans. Its recent rally comes as traders widely believe that the U.S. Federal Reserve's 25 basis point rate hike on Wednesday was the last in its campaign to control inflation. Investors are also optimistic the U.S. economy will avoid a recession. The Dow's longest-ever winning streak was 14 sessions, set in 1897, according to S&P Dow Jones Indices. Even after its recent gains, the Dow has lagged Wall Street's other main indexes in 2023. It is up 7% year to date, compared to a 18% gain in the S&P 500 and the Nasdaq's (.IXIC) 35% surge. ""The Dow has been the laggard of the big three, and now it seems to be playing catch up. I think that catch-up trade is bringing us to a healthier place,"" said Art Hogan, chief market strategist at B Riley Wealth. The Dow's 30 constituents do not include market heavyweights Tesla (TSLA.O), Meta Platforms (META.O), Nvidia (NVDA.O) or Amazon (AMZN.O), major winners in a stock market rally this year fueled by optimism about artificial intelligence and an eventual end to the Fed's rate hikes. ""We are actually seeing the market broaden out, so it's not just about seven artificial intelligence anointed darlings,"" Hogan added. Dow components Salesforce (CRM.N), Apple (AAPL.O) and Microsoft (MSFT.O) have rallied between 40% and 70% this year, making them the Dow's top performers. But the Dow has also been held back by declines of 10% or more in Amgen (AMGN.O), Chevron (CVX.N), Verizon Communications (VZ.N) and Walgreen Boots Alliance (WBA.O). Overall, nearly half of Dow constituents remain down in 2023, even after outperforming so far in July. While the Dow's recent winning streak is unusually long, its overall strength has not been exceptional. The index climbed 4.8% since July 7, compared to 3.1% increase in the Nasdaq and a 3.4% rise in the S&P 500. The Dow's last 13-day winning streak in January 1987 produced a gain of 11.1%. Our Standards: The Thomson Reuters Trust Principles.|0.9963"
3,2023-07-27,0.9955,"2023-07-27Wall Street closes down, Dow snaps longest winning streak since 1987|July 27 (Reuters) - U.S. stocks ended lower on Thursday after news that the Bank of Japan will allow long-term interest rates to rise sent U.S. yields higher, snapping the longest winning streak for the Dow since 1987. The Nikkei newspaper reported the central bank will maintain its 0.5% cap for the 10-year government bond yield, but discuss allowing long-term interest rates to rise above that level by a certain degree. Reuters confirmed the central bank may make minor tweaks to extend the lifespan of its yield control policy. Michael Green, chief investment strategist at Simplify Asset Management, said reports of the Bank of Japan's plans were the biggest driver behind Wall Street's performance on Thursday. Higher rates in Japan pushed the U.S. 10-year yield over 4% and reduced the attractiveness of stocks. The Dow Jones Industrial Average (.DJI) fell 237.4 points, or 0.67%, to 35,282.72, the S&P 500 (.SPX) lost 29.29 points, or 0.64%, to 4,537.46 and the Nasdaq Composite (.IXIC) dropped 77.18 points, or 0.55%, to 14,050.11. On Wednesday, the U.S. Federal Reserve raised interest rates by 25 basis points as expected. Traders now only see a 20% chance that the Fed could surprise with a quarter-point increase in September. FEDWATCH Fed Chair Jerome Powell said on Wednesday that Fed staff are no longer forecasting a U.S. recession, but did not rule out another rate hike, saying the Fed would follow future economic data. On Thursday, a Commerce Department report showed the U.S. economy grew faster than expected in the latest quarter, with an advance gross domestic product reading of 2.4%, above the 1.8% forecast by economists polled by Reuters. Kim Rupert, managing director of global fixed income at Action Economics in San Francisco, said the strong economic data earlier in the day also made the market reassess its positioning after the Federal Reserve slightly upgraded its growth outlook on Wednesday. ""The markets are looking at the increased potential for another Fed rate hike that had largely been priced out. Now it's being priced back in,"" said Rupert, who expects a Fed rate hike in September. Meta (META.O) gained 4.40% after it reported a jump in second-quarter advertising revenue, topping Wall Street financial targets. Microsoft, which on Tuesday surpassed estimates for quarterly revenue and profit, closed down 2.09%, as it laid out an aggressive spending plan to meet demand for its new artificial intelligence (AI)-powered services. Outsized gains in megacap growth stocks have helped the Nasdaq (.IXIC) lead the charge on Wall Street so far this year, with the index rising about 34%. EBay (EBAY.O) forecast third-quarter profit below market expectations as the e-commerce platform spent more to bolster categories such as auto parts, refurbished goods and collectibles, sending its shares down 10.53%. Chipmakers Nvidia (NVDA.O) and Micron (MU.O) rose 0.99% and 5.48% respectively after Lam Research (LRCX.O) forecast upbeat quarterly sales. Shares of Lam also advanced. Southwest Airlines (LUV.N) tumbled 8.94% after the airline posted a dip in second-quarter profit, while Royal Caribbean (RCL.N) surged after the cruise operator lifted its annual profit forecast. Elsewhere, the European Central Bank raised interest rates for the ninth consecutive time and kept the door open to further tightening. Our Standards: The Thomson Reuters Trust Principles.|0.9955"
4,2023-07-27,0.9877,"2023-07-27Roku shares surge as better ad spending powers upbeat revenue forecast|July 27 (Reuters) - Roku (ROKU.O) forecast upbeat third-quarter revenue and posted market-beating results for the second quarter on improved ad sales, sending the shares of the streaming device maker up 9% after the bell. After several months of muted spending, companies are raising their expenditure on ads on signs of cooling inflation and improving consumer sentiment. ""We have begun to see some ad verticals improve, which resulted in modest YoY platform revenue growth in Q2, and we are well positioned to re-accelerate growth as the ad market recovers,"" company executives said in a letter to shareholders. Roku expects $815 million in net revenue in the July-September period, higher than analysts' projection of $809.6 million, according to Refinitiv data. Chief Financial Officer Dan Jedda said the pickup in ad spending is coming from the consumer products, and health and wellness industries, while tech, media and entertainment remains challenged. Roku's strong guidance comes after large digital platforms Meta Platforms (META.O) and Alphabet (GOOGL.O) delivered upbeat results on higher digital ad sales. ""In addition to capturing advertising dollars shifting from traditional linear distribution to over-the-top, Roku has made progress in clawing away spend from other digital channels,"" said Third Bridge analyst Jamie Lumley. Roku, which offers streaming devices and also has its own ad-supported channel, posted better-than-expected results for the quarter ended June. Net revenue grew 11% to $847.2 million, above estimates of $774.5 million, while adjusted loss came in at 76 cents per share, lower than the estimate of $1.26. The company said it added 1.9 million ""active accounts"" from the previous quarter to 73.5 million. Our Standards: The Thomson Reuters Trust Principles.|0.9877"
5,2023-07-27,0.9948,"2023-07-27Meta's Reels revenue narrows in on TikTok, boosted by AI|July 27 (Reuters) - Reels, Meta Platforms' (META.O) answer to viral short-form video app TikTok, elicited eyerolls when it launched in 2020 and was regarded as yet another example of Meta copying a popular rival. But on Wednesday, Meta revealed numbers that show Reels videos are growing rapidly among both users and advertisers and are quickly catching up to the ByteDance-owned TikTok app that is beloved by young users and has reshaped the social media landscape. Meta says the rags-to-riches growth of Reels, which are viewable on both Facebook and Instagram, speaks in part to the company's improving recommendation software, long the Chinese-owned rival's strong point. ""We can show Reels that we think you're interested in based on our discovery engines,"" Justin Osofsky, Meta's head of online sales, operations and partnerships, said in an interview on Thursday. The number of Reels video plays on Facebook and Instagram now top 200 billion per day, up from 140 billion last fall. TikTok did not respond immediately to a request to provide its daily figures. The growth of Reels ""creates a base that you have the opportunity to further monetize,"" Osofsky said. Though Meta has invested in artificial intelligence for years, it is now moving to the forefront of its business to improve content recommendations and ads across the company's services, he added. Reels' annual revenue run rate has jumped to $10 billion, up from around $3 billion as of last fall and $1 billion last summer, Meta CEO Mark Zuckerberg said during a conference call with analysts following its second quarter results. That means Reels is about the size of TikTok's business as of last year, when it pulled in $9.9 billion in worldwide ad revenue, according to estimates from research firm Insider Intelligence, which forecast $13.2 billion in global ad revenue this year. One reason for Reels' growth is that Meta's ad platform makes it seamless for advertisers to place their promotions on the feature, said Debra Aho Williamson, a principal analyst at Insider Intelligence. ""It's as easy as checking a box,"" she said. More than three-quarters of Meta's advertisers are placing ads on Reels, said Susan Li, Meta's chief financial officer. Throughout 2022, Meta executives fielded questions from investors about whether fast-growing Reels consumption was actually hurting ad sales by taking users' time away from higher-earning areas of its apps, like the News Feed. There were relatively few ads in Reels at that point, but Zuckerberg said he expected advertisers to embrace the format over time, as they had with previous transitions from desktop to mobile and from Feed to Stories, Meta's Snapchat-like format. On the earnings call on Wednesday, Li said the company expected Reels would continue earning less money than the ads Meta generates from its Stories and Feed features, ""since people scroll more slowly through video content."" TikTok and its famous content recommendation algorithm remains the leader when it comes to time spent on social media apps. The average U.S. user spends 53.8 minutes per day on TikTok, versus 48.7 minutes on YouTube, 33.1 minutes on Instagram and 30.9 minutes on Facebook, according to Insider Intelligence estimates. Our Standards: The Thomson Reuters Trust Principles.|0.9948"
6,2023-07-27,0.9709,"2023-07-27US senators Warren, Graham kick off bipartisan anti-Big Tech push|WASHINGTON, July 27 (Reuters) - U.S. senators Elizabeth Warren, a Democrat, and Lindsey Graham, a Republican, said on Thursday they would push for an ambitious bill to create a new government regulator empowered to rein in Meta Platforms' (META.O) Facebook, Alphabet's (GOOGL.O) Google, Amazon.com (AMZN.O) and other Big Tech platforms. For several years, bills intended to clip the wings of Big Tech companies have fallen short in U.S. Congress even as federal agencies wage legal battles against Google and Facebook over alleged violations of antitrust law. In addition to creating the regulatory commission, the proposed law would tighten antitrust law to forbid the companies from preferencing their own products over those of rivals. Amazon, for example, has been accused of favoring its own brands when consumers conduct searches on Amazon. It would allow the commission to stop certain acquisitions by the companies and force asset sales in some circumstances, Warren's office said in a description of the proposed measure. The measure would also guarantee some privacy protections and limit foreign ownership and access to data by foreign adversaries. Like the Federal Trade Commission, the new Digital Consumer Protection Commission would have five commissioners with a maximum of three from one political party. ""This bipartisan bill would create a new tech regulator and makes clear that reining in Big Tech platforms is a top priority on both sides of the aisle,"" said Warren in a statement. Graham said the creation of the regulatory commission was ""the first step in a long journey to protect American consumers from the massive power these companies currently wield."" Amazon declined comment while Facebook and Google did not respond to a request for comment on the proposal. Our Standards: The Thomson Reuters Trust Principles. Thomson Reuters Focused on U.S. antitrust as well as corporate regulation and legislation, with experience involving covering war in Bosnia, elections in Mexico and Nicaragua, as well as stories from Brazil, Chile, Cuba, El Salvador, Nigeria and Peru. |0.9709"
7,2023-07-27,0.9956,"2023-07-27Facebook parent Meta sees advertising jump, tops Wall Street targets|July 26 (Reuters) - Meta Platforms (META.O) on Wednesday reported a strong rise in advertising revenue, topping Wall Street financial targets for the second quarter and forecasting third-quarter revenue above market expectations. The results from Meta, Facebook's parent company, come a day after a strong performance from Alphabet's (GOOGL.O) Google and make the case that consumers, and the advertisers eager to reach them, are spending despite broad economic concerns. Still, the company also forecast that expenses would rise in both 2023 and 2024, citing costs including legal fees and increased spending on infrastructure considered key to the tech sector's feverish AI race. That spending comes after aggressive cost-cutting in other parts of the company, including safety teams and basic business functions. Meta shares were up 7.5% in after-hours trade. ""We continue to see strong engagement across our apps and we have the most exciting roadmap I've seen in a while with Llama 2, Threads, Reels, new AI products in the pipeline, and the launch of Quest 3 this fall,"" Meta Chief Executive Mark Zuckerberg said. Meta's second-quarter revenue grew 11% to $32 billion in the quarter ended June 30, compared with analysts' average estimate of $31.12 billion. Ad revenue rose 12% in the quarter, faster than growth at Google, where ad revenue rose 3%. Adjusted earnings per share of $2.98 topped Wall Street targets of $2.91, according to data from Refinitiv. The social media giant has been climbing back from a bruising 2022, buoyed by hype around emerging AI technology and an austerity drive in which it has shed around 21,000 employees since last fall. The company's shares have more than doubled in value this year as a result. Advertisers are reinforcing those gains by pumping money into digital ads again after months of muted spending, heartened by signs that the economy may overcome a bout of high inflation without suffering a major meltdown. Brands are hedging their bets, however, and sticking with tried and true platforms. That helps Meta and Alphabet while punishing smaller players like Snap (SNAP.N), which reported disappointing sales on Tuesday. Meta's revenue forecast did not specify whether the figure includes any sales that might come from the recently launched Threads app, which does not yet have ads. The revenue gains provide relief as Meta makes massive investments to upgrade its data centers and stay competitive in an emerging arms race around AI technology, while continuing to invest more than $10 billion a year in a longer-term bet on ""metaverse"" hardware and software. Meta cut its capital expenditure forecast for 2023, driven in part by pushing some costs related to artificial intelligence into 2024, when capex is expected to grow. Zuckerberg told investors that executives were ""debating heavily"" how much AI capacity to bring online to prepare for a potential explosion in need. He saw three product categories for AI: features for advertisers, AI agents on chat and internal company productivity tools. He said he envisioned some revenue coming from Meta's recently released Llama 2 model, which is largely open source but requires a license for use by companies with more than 700 million users. ""We want this to be open. But if you're someone like Microsoft or Amazon or Google and you're going to basically be reselling these services, that's something that we think we should get some portion of the revenue for,"" Zuckerberg said. Meta's Reality Labs unit, which is responsible for developing metaverse-oriented technology like augmented reality glasses, reported sales of $276 million, down from $452 million in the same quarter last year. The unit lost $3.7 billion in the second quarter, putting it on track to have far higher costs than the $5 billion annual target set out in a widely circulated investor note in the fall. The unit has lost more than $40 billion since 2021, including $13.7 billion last year. Meta said it expected Reality Labs operating losses to ""increase meaningfully"" in 2024 as the company continued to invest in augmented and virtual reality and ""scale our ecosystem."" Zuckerberg had previously said Meta would ""pace"" investments in the division after 2023. He told investors he understood why many of them would feel discomfort over such a long-term bet. The company expects 2023 total expenses in the range of $88 billion to $91 billion, compared with its previous forecast of $86 billion to $90 billion, citing ""legal-related expenses."" Meta said second-quarter expenses included legal costs of $1.87 billion, mostly related to a fine by Ireland's Data Protection Commissioner in May for transferring user information to the United States. The fine itself was 1.2 billion euros ($1.3 billion). It said it expected ""higher infrastructure-related costs"" in 2024, as well as growth in payroll expenses ""as we evolve our workforce composition toward higher-cost technical roles."" Our Standards: The Thomson Reuters Trust Principles.|0.9956"
8,2023-07-27,0.9959,"2023-07-27Meta rallies as AI-powered ad sales drive 'monster' forecast|July 27 (Reuters) - Meta (META.O) shares surged nearly 8% on Thursday as a rosy revenue forecast showed that artificial intelligence was helping the social media giant boost engagement and ad sales even in an uncertain economy. The Facebook owner was set to add about $60 billion to its market value after strong second-quarter earnings encouraged 18 analysts to lift their target price on a stock that has already more than doubled this year. ""Meta (is) in a class-of-their-own in digital ads,"" said Mark Shmulik of Bernstein, adding that its ""monster guidance blew the doors off with an expected growth rate of +15-24% — numbers investors were hoping to maybe see as early as Q4."" While Meta's 12% rise in second-quarter ad revenue surpassed the 3% growth at Alphabet's Google, earnings reports from both the digital ad behemoths reinforced a recovery in the sector. Meta and Google are on track to add around $160 billion to their combined market capitalization - a figure that is more than the individual market values of about 90% of the companies in the S&P 500 index. Smaller rival Snap (SNAP.N), however, disappointed on ad sales as advertisers stick to tried and true platforms. Meta's results were also supported by improving monetization of Reels, a short-form video format that is the company's answer to TikTok. CEO Mark Zuckerberg said Reels now has an annual revenue run rate exceeding $10 billion, up from $3 billion last fall. ""Advertisers are gaining confidence in Meta's enhanced and AI-powered campaign planning and measurement capabilities, and spending more. Unsurprisingly, Reels monetization keeps improving,"" said Morningstar analyst Ali Mogharabi. The positive analyst view reinforces how a focus on cost cuts and higher engagement through AI has helped Meta turn into a Wall Street darling this year after being derided for much of 2022 for its hefty spending on the ambitious metaverse. Analysts have a median price target of $355.50 on Meta, which represents an upside of 19% to its stock's last close. The company has 12-month forward price-to-earnings ratio of 21.28, higher than Alphabet's 20.47 and the industry median of 15.18. The accelerating revenue growth at Meta helped allay some concerns about an expected jump in expenses in 2024 due to legal fees and increased spending on infrastructure considered key to the tech sector's feverish AI race. ""There is an element of uncertainty in CapEx spending growth for 2024. That said, we do also see a series of monetization opportunities that can be sprung out of these innovations,"" said Mark Mahaney of Evercore ISI. Our Standards: The Thomson Reuters Trust Principles.|0.9959"
9,2023-07-27,0.944,"2023-07-27Morning Bid: ECB to follow Fed hike, Meta surges|A look at the day ahead in U.S. and global markets from Mike Dolan With markets still betting Wednesday's interest rate hike from the Federal Reserve was the last in the cycle, the European Central Bank is due to follow suit today - while Meta provided one of bright spots of a packed corporate earnings diary. Fed Chair Jerome Powell remained equivocal about whether there was one more policy rate rise left this year and said Fed staff were no longer forecasting a recession - but futures markets continue to see a less than 50% chance of another move. Treasury yields and the dollar (.DXY) eased overnight. The Commerce Department's snapshot of gross domestic product due on Thursday is expected to show the U.S. economy grew at a trend rate of 1.8% in second-quarter, almost a full point drop in core inflation to 4% and the housing slump nearing an end. The stock market remains buoyed near highs for the year. Aided by upbeat Boeing results, the Dow Jones blue chip index (.DJI) clocked 13 straight daily gains on Wednesday for the first time since 1987 and S&P500 futures are up again ahead of today's bell. The VIX (.VIX) volatility gauge slipped below 13 for the first time this month. But Meta Platforms (META.O) stole the show overnight, with its stock soaring 7% after the digital giant reported a strong rise in advertising revenue - while topping Wall Street financial targets and third-quarter revenue guidance. Global stocks (.MIWD00000PUS) hit their highest since April last year on Thursday, with European stocks up more than 1% ahead of the ECB decision. While the ECB is also expected to deliver a quarter-point hike to 3.75%, money markets similarly doubt there's another rate rise left in the campaign - wary of a euro zone economy that's slipping in and out of recession this year as disinflation progresses. The euro pushed higher against a softer dollar ahead of the announcement and press conference from ECB chief Christine Lagarde. The yen also firmed as the Bank of Japan is expected to keep its easy policy unchanged on Friday. The rest of the news was dominated by the screed of earnings hitting the headlines. Shares in oil giants Shell (SHEL.L) and TotalEnergies (TTEF.PA) fell after they both missed forecasts in reporting big profit drops for the second quarter - the result of the sharp oil price recoil over the last year. Barclays (BARC.L) was again an outlier in banking. Its shares dived 7% despite plans for a hefty buyback after the British lender warned of growing pressure on its UK business and missed forecasts for its investment bank as a global corporate dealmaking slump persists. The euro zone's biggest bank BNP Paribas (BNPP.PA), by contrast, beat Q2 estimates and the stock jumped 4%. In Asia, Hong Kong shares (.HSI) rose in line with world markets, but mainland China indices continue to stumble under a cloud. China's industrial profits extended this year's double-digit pace of declines into a sixth month, falling almost 17% for the year through June. Events to watch for on Thursday: * European Central Bank policy decision, followed by press conference from President Christine Lagarde * U.S. corp earnings: Intel, Ford, McDonald's, Abbvie, Boston Scientific, Bristol-Myers Squibb, Honeywell, Xcel, Eastman Chemical, Pentair, Mastercard, S&P Global, Hershey, PG&E, Digital Realty, Northrop Grumman, Weyerhaeuser, Edison, Principal Financial, Cincinatti Financial, Verisign, Comcast, Southwest Airlines, HCA, Willis Towers Watson * U.S. Q2 gross domestic product, weekly jobless claims, June durable goods orders, June pending home sales, June wholesale/retail inventories, Kansas City July business surveys * U.S. Federal Reserve Board holds open meeting to discuss proposed rules to implement the Basel III banking agreement * U.S. Treasury auctions 7-year notes, 4-week bills * Italy's Prime Minister Giorgia Meloni meets U.S. President Joe Biden in Washington (This story has been corrected to show Thursday's updates, not Friday's, in the corporate earnings diary and delete references to Exxon and Chevron results) Our Standards: The Thomson Reuters Trust Principles.|0.944"
