,Dates,Sentiment,Article
0,2023-07-28,0.9801,"2023-07-28U.S. lawmakers urge Biden administration to tighten AI chip export rules|SAN FRANCISCO, July 28 (Reuters) - Two U.S. lawmakers who head a committee focused on China on Friday urged the Biden administration to tighten export restrictions on artificial intelligence chips in the wake of industry lobbying to leave the rules unchanged. Representative Mike Gallagher, a Republican and chair of the House of Representatives select committee on China, and Representative Raja Krishnamoorthi, a Democrat and ranking member of the committee, in a letter to Commerce Secretary Gina Raimondo called to ""further strengthen"" a sweeping set of export control rules implemented last October that cut off China's access to top AI chips made by U.S. firms such as Nvidia (NVDA.O), Advanced Micro Devices (AMD.O) and Intel (INTC.O). The letter urges U.S. officials to take an even stricter approach than one Reuters reported last month that they are considering. The October 2022 rules impose two performance caps on exporting AI chips to China - one on how fast the chips can talk to one another, and the second on the chips' processing speeds. After the rules took effect, Nvidia created special chips for China with lower interconnect speeds. Intel this month also said it has created an AI chip that can be sold in China. But Nvidia's chips still have high enough processing speeds to be useful in creating AI systems, and Reuters reported in May that the U.S. export controls have done little to slow the progress of China's AI sector. Last month, Reuters reported that U.S. officials were considering tightening the rules by focusing on processing speeds alone, which could affect Nvidia's chips. Nvidia at the time said that restricting sales of its AI chips to China ""would result in a permanent loss of opportunities for the U.S. industry."" The potential tightening of the rules set off a flurry of lobbying activity, with the chief executives of Nvidia, Intel and Qualcomm traveling to Washington last week to meet with administration officials to discuss China policy. The same day as the visit, the Semiconductor Industry Association, a U.S.-based industry group, urged the Biden administration to allow the ""the industry to have continued access to the China market, the world’s largest commercial market for commodity semiconductors."" On Friday, Gallagher and Krishnamoorthi urged an even tighter approach than the one Reuters previously reported officials are considering. The lawmakers' letter recommended keeping a speed limit on how fast chips can talk to one another and said it ""should be lowered sufficiently to prevent clever engineering that bypasses the regulations."" The lawmakers also urged administration officials to ""closely consider"" how to cut off Chinese firms' access to advanced computing chips in the cloud, where major U.S. firms such as Amazon.com (AMZN.O), Microsoft (MSFT.O) and Alphabet's (GOOGL.O) Google offer the chips for rent as part of their cloud computing services. ""We urge you to even further strengthen the October 7, 2022, rules so that advanced U.S. technology and expertise related to advanced computing and semiconductors are not used against the United States,"" Gallagher and Krishnamoorthi wrote. Our Standards: The Thomson Reuters Trust Principles.|0.9801"
1,2023-07-28,0.9578,"2023-07-28Capgemini's slower sales hit shares, to invest 2 billion euros in AI|July 28 (Reuters) - French IT consulting group Capgemini (CAPP.PA) posted weaker quarterly growth due to a slowdown across its regions, marked by a softer-than-expected U.S. market as clients cut costs. Its shares were down 5% at 1050 GMT, the biggest decliner among French blue-chip stocks (.FCHI). ""The U.S. market is a little bit softer than what we expected. We see more clients in cost cutting in the U.S., and that basically has put a bit more pressure on the U.S. market,"" CEO Aiman Ezzat told analysts on a call. Its second-quarter sales grew 5.2% at constant exchange rates, down from 10.7% in the first quarter. Revenue in the U.S., Capgemini's second-biggest market, was up 3% versus 6.1% in the prior quarter. Clients were in a ""wait and see"" mode in some industries, especially in the U.S., Chief Operating Officer Olivier Sevillia said, adding they were not dropping deals but shifting the timing of orders. ""Maybe Q4 is a bit too early,"" Sevillia said about a possible tipping point. He expected demand to resume strongly once the tides turned. Capgemini's half-year revenue rose 7.9% at constant rates to 11.43 billion euros ($12.53 billion) aided by demand for digital transformation, including artificial intelligence (AI). ""I am convinced that generative AI will play a major role in this transition,"" Ezzat said in a statement. Generative AI, a powerful form of AI able to generate text, images, and other content, has become popular since the release of OpenAI's ChatGPT chatbot last November, increasing concerns over issues such as copyright, cybersecurity, privacy and AI replacing human jobs. The company, which aims to help businesses to adopt AI technology through recent partnerships with Microsoft and Google Cloud, said it planned to invest 2 billion euros in AI over three years. This should double the workforce of its data and AI teams to 60,000 people, it said. The group's total headcount was 349,500 at end-June, down 1% from a year earlier. ($1 = 0.9122 euros) Our Standards: The Thomson Reuters Trust Principles.|0.9578"
2,2023-07-28,0.991,"2023-07-28Meta plans retention 'hooks' for Threads as more than half of users leave app|NEW YORK, July 27 (Reuters) - Meta Platforms (META.O) executives are heavily focused on boosting retention on their new Twitter rival Threads, after the app lost more than half of its users in the weeks following its buzzy launch, CEO Mark Zuckerberg told employees on Thursday. Retention of users on the text-based app was better than executives had expected, though it was ""not perfect,"" said Zuckerberg, speaking at an internal company town hall, the audio of which was heard by Reuters. ""Obviously, if you have more than 100 million people sign up, ideally it would be awesome if all of them or even half of them stuck around. We're not there yet,"" he said. Zuckerberg said he considered the drop-off ""normal"" and expected retention to grow as the company adds more features to the app, including a desktop version and search functionality. Meta is looking at adding more ""retention-driving hooks"" to entice users to return to the app, like ""making sure people who are on the Instagram app can see important Threads,"" said Chief Product Officer Chris Cox. A company spokesperson declined to comment on the meeting. The executives' comments came a day after Meta wowed investors with a rosy revenue growth forecast, a sign of a comeback for a company that faced deep skepticism over its hefty spending on the metaverse last year as ad sales plummeted. The disclosure sent Meta's shares surging 8% on Thursday. Zuckerberg told employees on the call that he believed the company's work on the augmented and virtual reality technology that would power the metaverse was ""not massively ahead of schedule, but on track."" Meta, he added, needed to get started investing in that work ahead of rivals such as Apple (AAPL.O), Google and Microsoft (MSFT.O), given their years of experience building operating systems for existing products. ""That way, we have all the tools ready for when this is ready for prime time,"" he said, predicting that mass adoption of metaverse technologies would take place in the 2030s. Zuckerberg and Cox also highlighted the company's release of an artificial intelligence model called Llama 2 this month, which it made freely available for commercial use to any developer whose services had fewer than 700 million users. The model has received more than 150,000 download requests in the week since its release, Cox said. Responding to a question on the proposed ""cage match"" against Elon Musk, Zuckerberg said he was ""not sure if it's going to come together."" Our Standards: The Thomson Reuters Trust Principles.|0.991"
3,2023-07-28,0.9957,"2023-07-28Chinese AI arrives by stealth, not with a bang|HONG KONG, July 28 (Reuters Breakingviews) - China faces a long slog to artificial intelligence supremacy. It wants to be a leader in the field by 2030 and this month unveiled new rules governing the technology that are less onerous than expected. But closed online ecosystems, Beijing’s controls on internet content and U.S. curbs on semiconductor exports to the world’s second largest economy will hamper progress. There were high expectations of what the People's Republic could achieve with the technology seen as having the power to solve some of the most pressing challenges on the planet. “In the age of AI, where data is the new oil, China is the new Saudi Arabia”, venture capitalist Lee Kai-fu declared in 2018. Reasons for confidence included troves of data spanning everything from digital payments to e-commerce as well as government support and a growing army of entrepreneurs. Fast forward to today and things look far less compelling. China's latest regulations on generative AI - where algorithms trained on vast datasets and users' inputs learn to perform complex tasks – will pave the way for its tech champions to launch products to rival OpenAI's ChatGPT. Under the new policy set to go into effect next month, providers of services to the public must submit security assessments. That implies that national security concerns will restrict the technology's evolution and will pile more pain onto an industry President Xi Jinping has targeted in a brutal two-year crackdown aimed at curbing the disorderly expansion of capital. The scope and requirements are stricter than in other regions like the United States, where voluntary codes of conduct and rules are only starting to be considered. The European Union, for example, is trying to push ahead with legislation primarily targeting ""high risk"" AI applications such as those that can be used to influence election outcomes and platforms that have over 45 million users. Yet compared to China’s earlier April draft which contained near-impossible demands such requiring AI-created content to be true and accurate, the latest version seems practical and signals Beijing is serious about supporting the nascent sector to some extent. Notably, the new rules only apply to consumer-facing services, suggesting business products might be given more latitude. That should benefit outfits like search-engine operator Baidu (9888.HK), , the first major Chinese company to come up with an answer to ChatGPT. Analysts at Goldman Sachs reckon the $50 billion group led by Robin Li will be among the first batch of applicants to win approval to commercialise its chatbot, currently in testing phase, and estimate AI products can boost annual revenue by 13% in 2025. Baidu’s New York stock is up by 30% this year, outperforming the 9% rise in the Nasdaq Golden Dragon index of U.S.-listed Chinese companies. Yet the country also faces a unique set of challenges. Washington may soon tighten export restrictions to China by targeting AI semiconductors, according to the Wall Street Journal. Cutting off access to chips sold by Nvidia (NVDA.O) or AMD (AMD.O) might set Baidu and peers back by years. Moreover, the country may have leapfrogged the West in mobile payments and such, but China’s internet is dominated by a handful of giants that have built up walled gardens, where platforms keep information and user data to themselves. That means different companies will have access to very different types of data. That's one reason Bernstein analysts peg Tencent (0700.HK) and ByteDance, whose social media and video apps have the largest reach in the country, as the most promising AI contenders. There are other hurdles companies must navigate. Strict censorship requirements are one. China’s internet firewall that prohibits its citizens from accessing unapproved content will limit the amount of information companies can use to train their AI models, potentially leaving firms in the country at a disadvantage to Western peers. Another headscratcher is how to make money. Microsoft (MSFT.O) recently said it will charge $30 a month for generative-AI features in its widely-used office software. It’s hard to see how Chinese software or cloud providers like Alibaba (9988.HK), can charge premium prices to mainland businesses which lag by far their global counterparts when it comes to IT spending. Cumulative losses at the Alibaba-backed Megvii, which is preparing to go public in Shanghai, topped $1.8 billion between 2018 to 2020; listed peers SenseTime (0020.HK) and CloudWalk Technology (688327.SS) remain deep in the red too. A slowing economy and brutal price war in the fiercely competitive cloud market will only make monetising AI products harder. Perhaps the biggest uncertainty is whether Xi will allow the private companies currently leading the charge in AI to thrive. It would be at odds with his government's efforts to strengthen control over certain industries over the past few years. While officials are now reassuring investors that the environment for entrepreneurial businesses will improve, licensing requirements and the latest AI rules suggest Beijing will keep a tight grip over the sector and views it as highly strategic. That might best explain why U.S.-listed Alibaba in May announced plans for a full-separation of its cloud and data business. China’s AI moment has arrived, only with far less promise than initially hoped. (The author is a Reuters Breakingviews columnist. The opinions expressed are her own. Refiles to add links.) Follow @mak_robyn on Twitter CONTEXT NEWS The Cyberspace Administration of China on July 13 published provisional regulations on generative artificial intelligence which will take effect on August 15. Providers who offer services to the public will need to submit security assessments and will be required to uphold core socialist values in their applications and comply with national security laws, among other things. China wants to become a world leader in AI by 2030, according to a 2017 roadmap released by the State Council. Our Standards: The Thomson Reuters Trust Principles. Thomson Reuters Robyn Mak joined Reuters Breakingviews in 2013. Previously, she was a Research Associate for the Global Policy Programs at the Asia Society in New York where she focused on US-Iran relations, US-Myanmar relations and sustainability issues in Asia. She has also worked as a researcher at the Carnegie Endowment for International Peace in Washington DC and interned at several consulting firms, including the Albright Stonebridge Group. She holds a masters degree in international economics and international relations from the Johns Hopkins School of Advanced International Studies and is a magna cum laude graduate of New York University.|0.9957"
4,2023-07-28,0.9963,"2023-07-28Dow Jones index set to end 13 day winning streak|July 27 (Reuters) - The Dow Jones Industrial Average (.DJI) was on the verge of ending its longest winning streak in 36 years on Thursday, successive gains showing that Wall Street's tech-driven rally is broadening to include a wider chunk of the stock market. The Dow closed higher for 13 straight sessions through Wednesday, its longest series of positive closes since 1987, and was last down 0.5% on Thursday afternoon after gaining earlier in the session. While the S&P 500 (.SPX), which includes over 500 stocks, is many investment professionals' preferred stock market benchmark, the Dow's daily moves are widely quoted in news media, making it widely recognized by many Americans. Its recent rally comes as traders widely believe that the U.S. Federal Reserve's 25 basis point rate hike on Wednesday was the last in its campaign to control inflation. Investors are also optimistic the U.S. economy will avoid a recession. The Dow's longest-ever winning streak was 14 sessions, set in 1897, according to S&P Dow Jones Indices. Even after its recent gains, the Dow has lagged Wall Street's other main indexes in 2023. It is up 7% year to date, compared to a 18% gain in the S&P 500 and the Nasdaq's (.IXIC) 35% surge. ""The Dow has been the laggard of the big three, and now it seems to be playing catch up. I think that catch-up trade is bringing us to a healthier place,"" said Art Hogan, chief market strategist at B Riley Wealth. The Dow's 30 constituents do not include market heavyweights Tesla (TSLA.O), Meta Platforms (META.O), Nvidia (NVDA.O) or Amazon (AMZN.O), major winners in a stock market rally this year fueled by optimism about artificial intelligence and an eventual end to the Fed's rate hikes. ""We are actually seeing the market broaden out, so it's not just about seven artificial intelligence anointed darlings,"" Hogan added. Dow components Salesforce (CRM.N), Apple (AAPL.O) and Microsoft (MSFT.O) have rallied between 40% and 70% this year, making them the Dow's top performers. But the Dow has also been held back by declines of 10% or more in Amgen (AMGN.O), Chevron (CVX.N), Verizon Communications (VZ.N) and Walgreen Boots Alliance (WBA.O). Overall, nearly half of Dow constituents remain down in 2023, even after outperforming so far in July. While the Dow's recent winning streak is unusually long, its overall strength has not been exceptional. The index climbed 4.8% since July 7, compared to 3.1% increase in the Nasdaq and a 3.4% rise in the S&P 500. The Dow's last 13-day winning streak in January 1987 produced a gain of 11.1%. Our Standards: The Thomson Reuters Trust Principles.|0.9963"
5,2023-07-27,0.9922,"2023-07-27Intel turns unexpected profit, higher forecast as PC market slide slows|July 27 (Reuters) - Chipmaker Intel (INTC.O) on Thursday posted a surprise quarterly profit as a PC market slump started to ease, and forecast third-quarter earnings above Wall Street expectations, sending its shares up about 6%. The market for personal computers has tumbled over the past year, with inventory piling up because consumers had already bought machines needed during the pandemic. But the glut has started to ease, with PC shipments falling only 11.5% in the June quarter compared to a 30% slump in each of the previous two quarters, Canalys data showed. The PC market improvement prompted Intel to forecast better margins for the third quarter. Its margins in recent quarters were nearly half its historical highs, but Intel said on Thursday it expects profit margins to improve in the second half of the year. ""Intel did outperform almost exclusively on the strength of desktop sales which rebounded from a near-record low last quarter,"" said Edward Snyder, analyst at Charter Equity Research. Intel's stock rally added nearly $9 billion to the company's market value, which in recent years has fallen far below that of rivals including Nvidia (NVDA.O), Advanced Micro Devices (AMD.O) and Broadcom (AVGO.O). After over four consecutive quarters of deep declines across its biggest segment that includes personal computers, revenue dropped 12% to $6.8 billion, from $7.7 billion in the year-ago period. Intel's foundry business, which aims to make chips for other companies and is its smallest sales contributor, reported revenue of $232 million, up from $57 million a year ago. Intel Chief Executive Officer Pat Gelsinger told Reuters that some of the foundry sales increase came from ""advanced packaging,"" a process in which Intel can combine pieces of chips made by another company to create a more powerful chip. ""There's a lot of interest in the industry for advanced packaging, because it is essential to deliver high-performance computing and AI,"" Gelsinger said. ""So we expect a lot more business coming our way in that area."" On Tuesday, the company said it would work with Swedish telecommunications gear maker Ericsson (ERICb.ST) on a chip that Intel will fabricate with its most advanced manufacturing technology it has disclosed. Sales in Intel's data center and artificial intelligence business fell 15% to $4 billion from $4.7 billion in the year-ago quarter. Those results beat Wall Street estimates, but reflect that cloud majors Microsoft (MSFT.O) and Alphabet expect to ramp up spending on data centers with most of the spending benefiting Nvidia (NVDA.O) that makes chips for AI. The focus on chips that are suited for AI computing in the cloud have hurt the market for server chips for Intel, as has a sluggish recovery in China. ""It is still very clear that Intel is absolutely losing share around server CPUs, and I think it is fair to say that they are fighting for relevance in AI,"" said Jenny Hardy, portfolio manager at GP Bullhound that owns AMD and Nvidia stock. An inventory glut in server central processing units (CPUs), will persist until the second half of the year, Gelsinger said on the conference call, and that data center chip sales will decline modestly in the third quarter before recovering in the fourth quarter. Gelsinger said right now Intel has enough customer orders to sell at least $1 billion worth of its AI chips through 2024. Intel forecast adjusted current-quarter earnings per share of 20 cents. Analysts polled by Refinitiv expected 16 cents. It forecast adjusted revenue of about $12.9 billion to $13.9 billion, compared to estimates of $13.23 billion. The midpoint of $13.4 billion exceeded estimates but still implies a 12.6% drop over the year in Intel's business. Intel forecast adjusted gross margin of 43% for the third quarter, compared to estimates of 40.6%. Intel shares have risen about 30% so far this year, compared to a 50% rise on the Philadelphia SE Semiconductor index (.SOX) in anticipation of an industry recovery. Our Standards: The Thomson Reuters Trust Principles. Thomson Reuters Chavi reports on U.S. technology companies, including semiconductor firms. Her work usually appears on the Technology and Business sections. |0.9922"
6,2023-07-27,0.9955,"2023-07-27Wall Street closes down, Dow snaps longest winning streak since 1987|July 27 (Reuters) - U.S. stocks ended lower on Thursday after news that the Bank of Japan will allow long-term interest rates to rise sent U.S. yields higher, snapping the longest winning streak for the Dow since 1987. The Nikkei newspaper reported the central bank will maintain its 0.5% cap for the 10-year government bond yield, but discuss allowing long-term interest rates to rise above that level by a certain degree. Reuters confirmed the central bank may make minor tweaks to extend the lifespan of its yield control policy. Michael Green, chief investment strategist at Simplify Asset Management, said reports of the Bank of Japan's plans were the biggest driver behind Wall Street's performance on Thursday. Higher rates in Japan pushed the U.S. 10-year yield over 4% and reduced the attractiveness of stocks. The Dow Jones Industrial Average (.DJI) fell 237.4 points, or 0.67%, to 35,282.72, the S&P 500 (.SPX) lost 29.29 points, or 0.64%, to 4,537.46 and the Nasdaq Composite (.IXIC) dropped 77.18 points, or 0.55%, to 14,050.11. On Wednesday, the U.S. Federal Reserve raised interest rates by 25 basis points as expected. Traders now only see a 20% chance that the Fed could surprise with a quarter-point increase in September. FEDWATCH Fed Chair Jerome Powell said on Wednesday that Fed staff are no longer forecasting a U.S. recession, but did not rule out another rate hike, saying the Fed would follow future economic data. On Thursday, a Commerce Department report showed the U.S. economy grew faster than expected in the latest quarter, with an advance gross domestic product reading of 2.4%, above the 1.8% forecast by economists polled by Reuters. Kim Rupert, managing director of global fixed income at Action Economics in San Francisco, said the strong economic data earlier in the day also made the market reassess its positioning after the Federal Reserve slightly upgraded its growth outlook on Wednesday. ""The markets are looking at the increased potential for another Fed rate hike that had largely been priced out. Now it's being priced back in,"" said Rupert, who expects a Fed rate hike in September. Meta (META.O) gained 4.40% after it reported a jump in second-quarter advertising revenue, topping Wall Street financial targets. Microsoft, which on Tuesday surpassed estimates for quarterly revenue and profit, closed down 2.09%, as it laid out an aggressive spending plan to meet demand for its new artificial intelligence (AI)-powered services. Outsized gains in megacap growth stocks have helped the Nasdaq (.IXIC) lead the charge on Wall Street so far this year, with the index rising about 34%. EBay (EBAY.O) forecast third-quarter profit below market expectations as the e-commerce platform spent more to bolster categories such as auto parts, refurbished goods and collectibles, sending its shares down 10.53%. Chipmakers Nvidia (NVDA.O) and Micron (MU.O) rose 0.99% and 5.48% respectively after Lam Research (LRCX.O) forecast upbeat quarterly sales. Shares of Lam also advanced. Southwest Airlines (LUV.N) tumbled 8.94% after the airline posted a dip in second-quarter profit, while Royal Caribbean (RCL.N) surged after the cruise operator lifted its annual profit forecast. Elsewhere, the European Central Bank raised interest rates for the ninth consecutive time and kept the door open to further tightening. Our Standards: The Thomson Reuters Trust Principles.|0.9955"
7,2023-07-27,0.9451,"2023-07-27Microsoft in EU antitrust crosshairs over Teams, Office tie-up|BRUSSELS, July 27 (Reuters) - Microsoft (MSFT.O) on Thursday found itself the target of an European Union antitrust investigation over the bundling of its chat and video app Teams with its Office product, putting it at risk of a hefty fine. The U.S. tech giant has racked up 2.2 billion euros ($2.5 billion) in EU antitrust fines in the previous decade for practices in breach of EU competition rules, including tying or bundling two or more products together. Since then Microsoft has adopted a more conciliatory approach with the European Commission. The European Commission's investigation followed a complaint by Salesforce-owned (CRM.N) workspace messaging app Slack in 2020 and after the U.S. tech giant's offer of remedies failed to address the EU competition enforcer's concerns. Teams, which Microsoft added to Office 365 in 2017 for free to eventually replace Skype for Business, soared in popularity during the pandemic especially after it offered video conferencing. The Commission is seeking to fast track the case and is looking to issue formal charges against Microsoft in the autumn unless the company improves its concessions, a person familiar with the matter told Reuters. The EU competition enforcer said it was concerned that Microsoft may be abusing and defending its market position in productivity software by restricting competition in the European communication and collaboration products market. ""Remote communication and collaboration tools like Teams have become indispensable for many businesses in Europe. We must therefore ensure that the markets for these products remain competitive, and companies are free to choose the products that best meet their needs,"" EU antitrust chief Margrethe Vestager said in a statement. A spokesperson for Microsoft said Microsoft would continue to co-operate with the European Commission and that the company remained committed to finding solutions to address the Commission's concerns. Reuters reported earlier this month that the EU antitrust watchdog was set to open a probe after Microsoft declined to offer bigger price cuts on its Office without Teams. The European Commission hopes a price differential between Office with Teams and Office without the app will ensure a level playing field with rivals and give consumers more choice, people familiar with the matter have told Reuters. German rival alfaview, which last week filed a complaint similar to Slack's with the EU executive, welcomed the EU investigation. ""With our complaint, we want to make clear that this is not about a fight between two US tech giants, but about the protection of innovations of all kinds,"" its CEO and founder Niko Fostiropoulos said in a statement. EU fines for antitrust violations can go as high as 10% of a company's global turnover. ($1 = 0.8988 euros) Our Standards: The Thomson Reuters Trust Principles.|0.9451"
8,2023-07-27,0.975,"2023-07-27US Senator Wyden asks FTC, CISA, DOJ to 'take action' against Microsoft following hack|July 27 (Reuters) - Oregon Senator Ron Wyden has asked the Federal Trade Commission, the Cybersecurity and Infrastructure Security Agency and the Justice Department to 'take action' against Microsoft (MSFT.O) following a China-linked hack that reportedly resulted in the theft of thousands of government emails from top U.S. officials. In a letter released Thursday, Wyden said ""even with the limited details that have been made public so far, Microsoft bears significant responsibility for this new incident."" The FTC, the Justice Department, and the Cybersecurity Agency - known as CISA - did not immediately respond to requests seeking comment. In a statement, Microsoft did not respond directly to Wyden's allegation but said would ""work directly with government agencies on this issue, and maintain our commitment to continue sharing information."" Microsoft has been under increasing scrutiny following revelations that hackers allegedly operating on Beijing's behalf got hold of one of its cryptographic keys and took advantage of a coding flaw to win sweeping access to the company's cloud email platform. That access was used to spy on the communications of Commerce Secretary Gina Raimondo and senior State Department diplomats. On Friday The Wall Street Journal reported that Beijing-linked hackers accessed the email account of the U.S. ambassador to China in an espionage operation thought to have compromised at hundreds of thousands of U.S. government emails. In his letter, Wyden called on CISA to get the Cyber Safety Review Board - an air accident investigation-style body - to open an inquiry into the hack. He also called on the Department of Justice to see ""whether Microsoft's negligent practices violated federal law"" and on the FTC to investigate whether the incident overlapped with 20-year-long consent degree that expired in late 2022. News of Wyden's letter was first reported by the Journal. Our Standards: The Thomson Reuters Trust Principles.|0.975"
9,2023-07-27,0.9956,"2023-07-27Facebook parent Meta sees advertising jump, tops Wall Street targets|July 26 (Reuters) - Meta Platforms (META.O) on Wednesday reported a strong rise in advertising revenue, topping Wall Street financial targets for the second quarter and forecasting third-quarter revenue above market expectations. The results from Meta, Facebook's parent company, come a day after a strong performance from Alphabet's (GOOGL.O) Google and make the case that consumers, and the advertisers eager to reach them, are spending despite broad economic concerns. Still, the company also forecast that expenses would rise in both 2023 and 2024, citing costs including legal fees and increased spending on infrastructure considered key to the tech sector's feverish AI race. That spending comes after aggressive cost-cutting in other parts of the company, including safety teams and basic business functions. Meta shares were up 7.5% in after-hours trade. ""We continue to see strong engagement across our apps and we have the most exciting roadmap I've seen in a while with Llama 2, Threads, Reels, new AI products in the pipeline, and the launch of Quest 3 this fall,"" Meta Chief Executive Mark Zuckerberg said. Meta's second-quarter revenue grew 11% to $32 billion in the quarter ended June 30, compared with analysts' average estimate of $31.12 billion. Ad revenue rose 12% in the quarter, faster than growth at Google, where ad revenue rose 3%. Adjusted earnings per share of $2.98 topped Wall Street targets of $2.91, according to data from Refinitiv. The social media giant has been climbing back from a bruising 2022, buoyed by hype around emerging AI technology and an austerity drive in which it has shed around 21,000 employees since last fall. The company's shares have more than doubled in value this year as a result. Advertisers are reinforcing those gains by pumping money into digital ads again after months of muted spending, heartened by signs that the economy may overcome a bout of high inflation without suffering a major meltdown. Brands are hedging their bets, however, and sticking with tried and true platforms. That helps Meta and Alphabet while punishing smaller players like Snap (SNAP.N), which reported disappointing sales on Tuesday. Meta's revenue forecast did not specify whether the figure includes any sales that might come from the recently launched Threads app, which does not yet have ads. The revenue gains provide relief as Meta makes massive investments to upgrade its data centers and stay competitive in an emerging arms race around AI technology, while continuing to invest more than $10 billion a year in a longer-term bet on ""metaverse"" hardware and software. Meta cut its capital expenditure forecast for 2023, driven in part by pushing some costs related to artificial intelligence into 2024, when capex is expected to grow. Zuckerberg told investors that executives were ""debating heavily"" how much AI capacity to bring online to prepare for a potential explosion in need. He saw three product categories for AI: features for advertisers, AI agents on chat and internal company productivity tools. He said he envisioned some revenue coming from Meta's recently released Llama 2 model, which is largely open source but requires a license for use by companies with more than 700 million users. ""We want this to be open. But if you're someone like Microsoft or Amazon or Google and you're going to basically be reselling these services, that's something that we think we should get some portion of the revenue for,"" Zuckerberg said. Meta's Reality Labs unit, which is responsible for developing metaverse-oriented technology like augmented reality glasses, reported sales of $276 million, down from $452 million in the same quarter last year. The unit lost $3.7 billion in the second quarter, putting it on track to have far higher costs than the $5 billion annual target set out in a widely circulated investor note in the fall. The unit has lost more than $40 billion since 2021, including $13.7 billion last year. Meta said it expected Reality Labs operating losses to ""increase meaningfully"" in 2024 as the company continued to invest in augmented and virtual reality and ""scale our ecosystem."" Zuckerberg had previously said Meta would ""pace"" investments in the division after 2023. He told investors he understood why many of them would feel discomfort over such a long-term bet. The company expects 2023 total expenses in the range of $88 billion to $91 billion, compared with its previous forecast of $86 billion to $90 billion, citing ""legal-related expenses."" Meta said second-quarter expenses included legal costs of $1.87 billion, mostly related to a fine by Ireland's Data Protection Commissioner in May for transferring user information to the United States. The fine itself was 1.2 billion euros ($1.3 billion). It said it expected ""higher infrastructure-related costs"" in 2024, as well as growth in payroll expenses ""as we evolve our workforce composition toward higher-cost technical roles."" Our Standards: The Thomson Reuters Trust Principles.|0.9956"
