,Dates,Sentiment,Article
0,2023-07-28,0.3182,"2023-07-28Texas Tesla plant receives false alarm of active shooter|July 28 (Reuters) - Police in Texas on Friday were investigating a 911 call reporting an active shooter at a large Tesla (TSLA.O) plant that turned out to be a false alarm, authorities said. The Travis County Sheriff's Office responded to the emergency call at about 5 a.m. local time of an active shooter at the Tesla Gigafactory plant in Austin, Texas, a sheriff's office spokesperson said. Police cleared the large plant and found no shooter, threat or injuries, the spokesperson said. Tesla did not immediately respond to a request for comment. Workers inside the plant received an email saying, ""There is an Active Attacker near column location 35Z at the Giga Factory Texas. Please take cover and stand by for further details."" The nature of the phone call, including where it came from and who placed it, was being investigated by police, the sheriff's office said. Our Standards: The Thomson Reuters Trust Principles.|0.3182"
1,2023-07-28,0.9501,"2023-07-28Panasonic, Subaru expected to announce EV battery plan, Nikkei reports|TOKYO, July 28 (Reuters) - Japan's Panasonic Holdings (6752.T) and automaker Subaru (7270.T) are expected to announce plans for an electric vehicle battery partnership soon, the Nikkei newspaper reported on Friday, days before both will report first-quarter earnings. Panasonic, which supplies almost all of its EV batteries to Tesla (TSLA.O), is seeking to increase global market as Chinese and South Korean competitors grow their presence, the Nikkei said. It did not provide any source for its report. The Nikkei said there was a possibility that Subaru may opt to use 4680 batteries, the newest cells championed by Tesla's chief executive, Elon Musk, for which Panasonic's energy unit is looking to increase production. A Panasonic spokesperson said it was examining various growth strategies for its automotive business but there was no new information it could share. A spokesperson for Subaru, which relies heavily on the North American market for its sales, declined to comment. Panasonic will release first quarter earnings results on Monday, while Subaru will do so on Wednesday. Panasonic's energy unit and Mazda Motor 7261.T announced in June they also would start talks to set up a battery supply partnership for EVs. Subaru said in May it was aiming for global sales of 200,000 battery-powered vehicles a year by around 2026 as it seeks to tap into the growing EV market. Our Standards: The Thomson Reuters Trust Principles.|0.9501"
2,2023-07-28,0.8442,"2023-07-28Global automakers scramble to reset China strategies as sales slow|SHANGHAI, July 28 (Reuters) - For foreign automakers in China, it is time to double down on a turnaround or cut losses after ceding their leadership of the world's biggest auto market to local, upstart brands. Announcements from some of the world's largest automakers in recent days show they are taking a divergent path: some German brands and General Motors (GM.N) are betting on new electric vehicles, while Toyota (7203.T) and others have shifted to cost-cutting mode. For the first time, Chinese brands are market leaders, taking a 53% share in the first half of 2023, data from the China Association of Automobile Manufacturers (CAAM) showed. Global automakers, who for years have dominated the market along with their Chinese state-run partners, have been slow to pivot to the fast-growing market for EVs with competitive offerings. That has been costly. Tesla (TSLA.O), which has its largest factory in China, was the only foreign brand to take share in the first half, topping BMW (BMWG.DE) in popularity, according to CAAM data. With added pressure on China margins from a brutal price war this year, some automakers are scaling back with production cuts and layoffs, including Toyota and Mitsubishi (7211.T). But brands that drew a third of their sales from China before this year's wipeout have no choice but to double down, said Yale Zhang, managing director at Shanghai-based consultancy Automotive Foresight. That includes Volkswagen (VOWG_p.DE) and GM. Volkswagen, which has been outsold by BYD (002594.SZ) since late 2022, announced two agreements on Wednesday aimed at strengthening its position in China: a partnership with China's Xpeng Inc (9868.HK) to build two new models from 2026 featuring Xpeng's software, and plans to jointly develop Audi models and a new platform with its Chinese partner SAIC (600104.SS). ""This major collaboration between Volkswagen and Xpeng is a milestone for our electrification strategy 'in China for China',"" said Ralf Brandstatter, a VW board member on his social media account. GM, which saw a 9% decline in its Buick, Chevrolet and Cadillac sales in China in the first half, has been counting on EVs developed on its Ultium platform to turn things around. It has sold more than 12,000 Ultium-based EVs since the first model, the Cadillac Lyriq, started sales a year ago. Last month, GM cut the price of the luxury Lyriq by 14% in China. ""We've got to have the right EVs at the right price with the right technology,"" GM CEO Mary Barra told investors on a conference call on Tuesday, referring to the company's China strategy. ""VW and GM, who have historically been leaders in the market, both believe they can salvage their positioning and protect the share they currently have,"" said Tu Le, an analyst at China-based research firm Sino Auto Insights. ""It points to how important China is for their global ambitions and, to a lesser degree, the confidence that they can ultimately design, engineer and manufacture products that can compete with Tesla and China EV Inc."" The price war has cut into margins for Chinese EV makers too, and many remain unprofitable. Their deeper pockets give established foreign automakers who are determined to fight for share in China, the ability to play a long game. ""We'll allow our enemies to fight first, and we will come back with bags of money and technologies to take them,"" Yang Honghai, chief operating officer of Kia China, said at an industry forum in June. ""We are not giving up on the market but only choosing to come back at a more appropriate time,"" he said. Kia (000270.KS) is to enter China's EV market with its first EV, the EV6 crossover, via imports in August. German luxury brands BMW, Mercedes Benz (MBGn.DE) and Volkswagen's Audi managed to hold share roughly flat in China in the first half after offering dealer discounts that topped 25% in some cases, according to sales data and analysts who track pricing. BMW also announced an increased investment in product development in China with a new research and development hub in Shanghai to develop EVs to be sold globally. ""The German brands benefit from significant global scale,"" said He Lei, CEO of Chinese EV trading platform xChuxing. ""Meanwhile, they are continuously chasing Chinese competitors with China-developed products. How can they not be competitive?"" Some are pulling back. Mitsubishi Motors has closed a plant run with a joint-venture partner that makes the Outlander SUV while the two companies try to negotiate a restructuring after sharp sales declines. Toyota, which fell to No. 3 in China in the first half, has slowed production at a joint-venture plant that makes its bZ4X EV and laid off 1,000 contract workers. Nissan (7201.T), which will bring four new models to China, including an EV, said this week it would consider exporting cars from China to other regions to take advantage of China's cost advantages, a strategy Tesla, BMW, Ford (F.N) and Renault (RENA.PA) have also pursued. ""China is not just a place to sell cars. It's also a place to drive economies of scale, which lower your cost and improve your ability to compete internationally,"" said Bill Russo of Automobility, an industry consultancy in Shanghai. Our Standards: The Thomson Reuters Trust Principles.|0.8442"
3,2023-07-28,0.9643,"2023-07-28Brazil's Vale to sell 13% stake in base-metals unit for $3.4 billion|SAO PAULO, July 27 (Reuters) - Brazilian miner Vale (VALE3.SA) said on Thursday it reached two separate agreements to sell a 13% stake in its base metals business for $3.4 billion, aiming to boost its copper and nickel output. The sale is part of Vale's strategy to unlock more value from its nickel and copper assets, given expectations for soaring demand for the metals from the electric vehicle market. A joint venture formed by Saudi Arabian Mining Co (Ma'aden) (1211.SE) and the country's Public Investment Fund (PIF) will acquire 10% of Vale's base metal unit, while U.S. investment firm Engine No. 1 will acquire 3%. The cash deal expected to close by the first quarter of 2024 values the company's base metals unit at an enterprise value of $26 billion, it said. Vale's market capitalization in the Brazilian stock exchange was $67.4 billion, based on Thursday's closing price. ""With our high-quality portfolio, we are uniquely positioned to meet the growing demand for green metals essential for the global energy transition,"" Vale's CEO Eduardo Bartolomeo said in a statement. It follows a plunge in the miner's profits in the second-quarter, posted separately on Thursday, which fell 78.2% from the previous year, dragged down by lower iron ore prices. Vale's core business is iron ore production and distribution, but its base metals unit also produces copper and nickel at mines in Brazil, Canada and Indonesia. With its new partners, Vale aims to invest between $25 billion to $30 billion in strategic mineral projects over the next decade, it said. This would enable a ""significant potential increase in our copper production"" to about 900,000 metric tons per year, from 350,000 tons, it said. Nickel output would grow to more than 300,000 metric tons per year, from the current 175,000 tons. Vale has previously signed contracts to supply nickel to major automakers including Tesla (TSLA.O) and General Motors (GM.N). ($1 = 4.7430 reais) Our Standards: The Thomson Reuters Trust Principles.|0.9643"
4,2023-07-28,0.9963,"2023-07-28Dow Jones index set to end 13 day winning streak|July 27 (Reuters) - The Dow Jones Industrial Average (.DJI) was on the verge of ending its longest winning streak in 36 years on Thursday, successive gains showing that Wall Street's tech-driven rally is broadening to include a wider chunk of the stock market. The Dow closed higher for 13 straight sessions through Wednesday, its longest series of positive closes since 1987, and was last down 0.5% on Thursday afternoon after gaining earlier in the session. While the S&P 500 (.SPX), which includes over 500 stocks, is many investment professionals' preferred stock market benchmark, the Dow's daily moves are widely quoted in news media, making it widely recognized by many Americans. Its recent rally comes as traders widely believe that the U.S. Federal Reserve's 25 basis point rate hike on Wednesday was the last in its campaign to control inflation. Investors are also optimistic the U.S. economy will avoid a recession. The Dow's longest-ever winning streak was 14 sessions, set in 1897, according to S&P Dow Jones Indices. Even after its recent gains, the Dow has lagged Wall Street's other main indexes in 2023. It is up 7% year to date, compared to a 18% gain in the S&P 500 and the Nasdaq's (.IXIC) 35% surge. ""The Dow has been the laggard of the big three, and now it seems to be playing catch up. I think that catch-up trade is bringing us to a healthier place,"" said Art Hogan, chief market strategist at B Riley Wealth. The Dow's 30 constituents do not include market heavyweights Tesla (TSLA.O), Meta Platforms (META.O), Nvidia (NVDA.O) or Amazon (AMZN.O), major winners in a stock market rally this year fueled by optimism about artificial intelligence and an eventual end to the Fed's rate hikes. ""We are actually seeing the market broaden out, so it's not just about seven artificial intelligence anointed darlings,"" Hogan added. Dow components Salesforce (CRM.N), Apple (AAPL.O) and Microsoft (MSFT.O) have rallied between 40% and 70% this year, making them the Dow's top performers. But the Dow has also been held back by declines of 10% or more in Amgen (AMGN.O), Chevron (CVX.N), Verizon Communications (VZ.N) and Walgreen Boots Alliance (WBA.O). Overall, nearly half of Dow constituents remain down in 2023, even after outperforming so far in July. While the Dow's recent winning streak is unusually long, its overall strength has not been exceptional. The index climbed 4.8% since July 7, compared to 3.1% increase in the Nasdaq and a 3.4% rise in the S&P 500. The Dow's last 13-day winning streak in January 1987 produced a gain of 11.1%. Our Standards: The Thomson Reuters Trust Principles.|0.9963"
5,2023-07-27,0.7096,"2023-07-27US Senate panel passes AM radio, ticket fee pricing bills|WASHINGTON, July 27 (Reuters) - The U.S. Senate Commerce Committee approved legislation on Thursday to bar automakers from eliminating AM broadcast radio in new vehicles and require companies like Ticketmaster to put total ticket prices including fees in marketing materials. The committee acted on a number of bills before Congress heads out on its August recess, approving two bills aimed at tightening privacy protections for children online. The update of the Children’s Online Privacy Protection Act, which first became law in 2000, would raise the age of children protected by the measure from 12 and under to 16 and under. The AM radio bill and the ticket-pricing bill both had strong bipartisan support and both have companion measures in the House of Representatives. Fees on ticket prices have become an increasing issue. They can comprise 21% to 58% of ticket prices for some events, according to studies from the New York Attorney General's office and Government Accountability Office. Concert-goers have been annoyed with Ticketmaster for years, and the most recent catalyst for criticism came in November when frustrated Taylor Swift fans battled its website, often unsuccessfully, to buy tickets for the pop star's first tour in five years. The AM radio bill would direct the Transportation Department to issue regulations mandating AM radio in new vehicles without additional charge. Senators said this year that at least seven automakers have removed AM broadcast radio from their electric vehicles, including Tesla (TSLA.O) BMW (BMWG.DE) and Volkswagen (VOWG_p.DE). Ford (F.N) reversed course in May under pressure from Congress. Lawmakers say losing AM radio undermines a federal system for delivering key public safety information to the public. The National Association of Broadcasters said the bill ""will ensure that the tens of millions of AM radio listeners across the country retain access to local news, diverse community programming and emergency information."" The Alliance for Automotive Innovation, a trade group representing major automakers, opposed the measure: ""This is simply a bill to prop up and give preference to a particular technology that’s now competing with other communications options and adapting to changing listenership."" Our Standards: The Thomson Reuters Trust Principles. Thomson Reuters Focused on U.S. antitrust as well as corporate regulation and legislation, with experience involving covering war in Bosnia, elections in Mexico and Nicaragua, as well as stories from Brazil, Chile, Cuba, El Salvador, Nigeria and Peru. |0.7096"
6,2023-07-27,0.9858,"2023-07-27Italian brake maker Brembo sees few signs of slowdown|July 27 (Reuters) - Premium brake maker Brembo (BRBI.MI) posted a 12.7% increase in its half-year core earnings, driven by an automotive sector which remains robust at the top end of the market, its chairman told Reuters on Thursday. The Italian company said its earnings before interest, tax, depreciation and amortisation (EBITDA) amounted to 344 million euros ($383.2 million) in the first six months of the year, supported by all business segments and markets in which it operates. Executive Chairman Matteo Tiraboschi said Brembo retained solid pricing power, thanks to the high quality and high technological content of its brakes. ""If I look at our business volumes for the coming months I hardly see any signs of a slowdown, at least in our segment of high-end applications,"" he said. ""The market remains healthy,"" he added. The chairman, however, said the Chinese market grew by less than forecast in the first half, while the second half of 2023 is expected to be in line with the same period of 2022, ""without big accelerations"". Brembo supplies top automakers including Ferrari (RACE.MI) and Tesla (TSLA.O), as well as several Formula One teams. The margin on the company's EBITDA came in at 17.6% in the first half, slightly up from 17.5% a year earlier. ""Our plants are operating smoothly, our supply chain is in good shape,"" Tiraboschi said. Brembo confirmed its forecast for revenue growth of about 10% this year, with percentage margins in line with the previous year. Brembo's shareholders this week also approved a plan announced in June to move the company's legal headquarters to the Netherlands, a move aimed at increasing M&A opportunities. ""It's a tool we need in our toolbox, but no concrete acquisition deal is now on the table,"" Tiraboschi said. ($1 = 0.8977 euros) Our Standards: The Thomson Reuters Trust Principles.|0.9858"
7,2023-07-27,0.9838,"2023-07-27VW cuts sales outlook as EV competition heats up|BERLIN, July 27 (Reuters) - Volkswagen (VOWG_p.DE) on Thursday cut its full year sales target and pledged to improve its cash position in the second half by hiking prices and cutting costs as the German carmaker seeks to fend off tough competition in China, its top market. The reduced sales target of 9-9.5 million vehicles, from 9.5 million previously, was down to a dip in first-half sales in China, Chief Financial Officer Arno Antlitz said. Antlitz said the so-called ""performance programmes"" in the works to make the group's brands more efficient would have to begin yielding results this year, adding it had no time to lose in the face of rising competition. Its next Capital Markets Day in April 2024 will focus on its strategy in China, where Volkswagen still hopes to be the number one international carmaker, though its electric vehicle (EV) sales for now lag local EV makers and U.S. rival Tesla (TSLA.O). ""Competition is intensifying and customers are cautious,"" Antlitz said on a press call following half-year results, referring to the global autos market. ""We need to achieve the first results of these programmes in the second half of 2023 to make us more resilient."" The company's shares were down 3.3% at 1115 GMT. Despite lowering its deliveries target, Volkswagen kept its 2023 financial guidance unchanged. But that contrasts with recent increases at several rivals, which Royal Bank of Canada analysts said suggested a likely downshift in the second half. ""I see the 9 to 9.5 million deliveries scenario as the best case .... communication should be more conservative. Investors feel the worst is yet to come,"" Bankhaus Metzler analyst Juergen Pieper said. Volkswagen is in the midst of a strategy shift aimed at proving to investors it can protect market share in the transition to electrification. Still, its mass-market business in particular is struggling to boost margins, lagging competitors like Renault (RENA.PA) and Stellantis (STLAM.MI) despite the German group's pledge to put profits over volume. Higher prices and revenues from internal combustion engine cars should help cushion its finances in the second half, Antlitz said. [1/2]Volkswagen's factory is seen in Sao Bernardo do Campo, Sao Paulo state, Brazil June 28, 2023. REUTERS/Leonardo Benassatto/File Photo Supplies of key components such as semiconductors had improved but transport and logistics delays had weighed on the first half, Volkswagen said. ""We are now moving from a bottleneck in chips to a bottleneck in transport,"" said Antlitz, adding steps had been taken to eliminate the hold-ups and reduce waiting time. ""The focus for the second half is now on strengthening net cash flow,"" he said. Cash flow, which plunged over 71% in the second quarter to 226 million euros, would improve over time as inventories go down, he said, sticking to the lower end of the firm's full-year cash flow target of 6-8 billion euros ($6.7-8.9 billion). The core Volkswagen Passenger Cars, VW Commercial Vehicles, Seat, Skoda and Cupra brands achieved an operating margin of 5.5% in the first half. Audi, Lamborghini, Bentley and Ducati made a 10% operating margin. Volkswagen also said it had sold its Russian operations for 125 million euros. In May, the company said it had sold its shares in Volkswagen Group Rus to Art-Finance, which is supported by autodealer group Avilon. The deal included VW's Kaluga factory, which has annual production capacity of 225,000 vehicles. ($1 = 0.8986 euros) Our Standards: The Thomson Reuters Trust Principles. Thomson Reuters Autos correspondent in Germany, covering the industry's transition to electric vehicles. Previously reported on the impact of the COVID-19 pandemic on the retail sector in South Asia, China and Europe, and wider general news. Formerly at YouGov and Economy, a charity working to produce accessible economics coverage. Thomson Reuters Speed editor on the Berlin hub who provides general coverage on everything from politics to energy in Germany, Austria and Switzerland, with the goal of getting the news out as quickly as possible. Miranda previously worked at the German press agency dpa and Chicago Tribune|0.9838"
8,2023-07-27,0.4588,"2023-07-27Automakers' demand helps STM weather softening chip market|July 27 (Reuters) - European chipmaker STMicroelectronics (STMPA.PA) on Thursday forecast higher third-quarter sales as demand from automakers helped it beat revenue forecasts in the second quarter, even as it flagged higher inventories in a sign of a weaker chip market. Chipmakers have been reporting sluggish demand, with rival Texas Instruments (TXN.O) saying earlier this week that some clients were cancelling orders, while Taiwan's TSMC (2330.TW) said last week that even booming AI chips had not offset broader market weakness. ""You know that smartphones this year overall will decrease,"" STM's Chief Executive Jean-Marc Chery said in a call with analysts. ""The inventory correction in personal electronics is going on, will still continue in Q3 as well."" The company expects third-quarter net revenue of $4.38 billion, up 1.2% from a year earlier, which JPMorgan analysts said was slightly above consensus estimates. However, the brokerage noted end-quarter inventories were 20.7% above the three-year seasonal average. STM's shares were up around 4% as of 0944 GMT, after they fell 3.5% initially. Automakers' push to make electric vehicles and develop driving assistance technology have eased challenges in the semiconductor sector also grappling with U.S.-China trade spats. STM, whose clients include Tesla (TSLA.O) and Apple (AAPL.O), credited automotive demand for the 12.7% rise in its second-quarter net revenue to $4.33 billion, slightly above analysts' consensus based on Refinitiv Eikon data. ""We will build more capacity for our European and global customers in advanced technologies and their transition to digitalisation and decarbonisation,"" Chery said. STM and Global Foundries (GFS.O) are investing some 7.5 billion euros ($8.35 billion), including French state aid, to build a major chip factory in Crolles, southeastern France. The group also sharpened its full-year outlook, expecting revenue of $17.4 billion, give or take $150 million, against its April guidance range of $17.0 billion to $17.8 billion. ($1 = 0.8984 euros) Our Standards: The Thomson Reuters Trust Principles.|0.4588"
9,2023-07-27,0.9203,"2023-07-27Western car makers look to slash EV costs to fight Chinese 'invasion'|PARIS, July 27 (Reuters) - Western automakers are fretting about an ""invasion"" of cheap Chinese electric cars in Europe, prompting France's Renault (RENA.PA) to say on Thursday it was aiming to slash production costs for its electric models by 40%. Finance chief Thierry Pieton said the best way to fend off price competition was for Renault to cut its own development and manufacturing costs. While the targetted 40% reduction is from 2027 onwards, Chief Executive Luca de Meo said the group would start seeing significantly lower production costs from the second half of this year, thanks to a fall in raw material costs. ""It's clear we are in competition and that time is of the essence, but that's the business we are in,"" he said. Delivering affordable electric vehicles (EVs) has become a priority for car makers worldwide as the shift to cleaner driving has come with high prices, due largely to battery costs. Chinese manufacturers such as BYD (002594.SZ) and SAIC have invested heavily in the shift, using lower labour costs and local battery suppliers to get a head start over many rivals. In 2022, Chinese car makers had a 9% share of Europe's EV market, nearly double the previous year's figure, according to forecasts by consultancy Inovev. And the pace is picking up. Like other EV makers, Renault also faces increased pressure from U.S. rival Tesla (TSLA.O), which has cut prices several times this year even as that has eaten into its margins. As an example, Tesla this year cut U.S. prices of its Model Y long-range version by a quarter to $50,490. That is having an impact. According to researchers Jato Dynamics, Tesla and SAIC's MG were the biggest market share winners in Europe during the first half of this year. Carlos Tavares, the CEO of Peugeot-to-Fiat carmaker Stellantis (STLAM.MI), warned on Wednesday the competition with Chinese manufacturers would be ""extremely brutal"". ""Their cost competitiveness is 25% against us. We have to fight,"" he said, describing the Chinese push as an ""invasion"". ""We need to use our own costs to make sure that we keep on making profit with affordable prices for our middle classes."" Tavares said Western car makers needed to use ""the same weapons"" as their Chinese rivals, sourcing parts in lower cost countries and striking partnerships with battery suppliers that offer the best combination of energy, cost and weight. ""It means that we need to come up with a sourcing proposal that allows us to sell those cars like the Citroën C3 at 25,000 euros or less in a profitable manner,"" he said. Once-dominant Western automakers are also striving to regain ground in China itself, the world's largest car market, after losing share to local manufacturers. Mercedes-Benz (MBGn.DE) said on Thursday it was sticking to its strategy and would not engage in a price war to ""buy"" market share in China. Asked about Volkswagen's (VOWG_p.DE) move to build new models with Chinese partners and potentially co-create local platforms, Mercedes CEO Ola Kaellenius said the premium carmaker was working with partners in China to adapt its technological offering to local taste. ""We are not handing the task of creating the Mercedes of the future to another OEM (manufacturer) - that task stays with us,"" Kaellenius added. Our Standards: The Thomson Reuters Trust Principles.|0.9203"
