,Dates,Sentiment
0,2023-05-26,0.631
1,2023-05-26,0.9819
2,2023-05-25,0.9571
3,2023-05-25,0.9273
4,2023-05-25,0.8016
5,2023-05-25,0.0
6,2023-05-24,0.5574
7,2023-05-24,-0.5994
8,2023-05-24,-0.9217
9,2023-05-23,-0.296
10,2023-05-23,0.4215
11,2023-05-23,0.0
12,2023-05-23,-0.1779
13,2023-05-23,0.296
14,2023-05-21,0.9552
15,2023-05-19,0.0
16,2023-05-19,-0.8126
17,2023-05-19,-0.1779
18,2023-05-19,-0.3182
19,2023-05-19,0.3182
20,2023-05-18,-0.2023
21,2023-05-18,0.3182
22,2023-05-18,-0.6605
23,2023-05-18,0.0516
24,2023-05-17,0.9501
25,2023-05-17,0.9349
26,2023-05-16,-0.6486
27,2023-05-16,0.128
28,2023-05-16,0.0
29,2023-05-15,0.0
30,2023-05-13,-0.443
31,2023-05-12,-0.6486
32,2023-05-12,0.0
33,2023-05-12,0.6249
34,2023-05-11,-0.6369
35,2023-05-11,0.4404
36,2023-05-11,-0.617
37,2023-05-11,0.9615
38,2023-05-10,-0.1027
39,2023-05-10,-0.4019
40,2023-05-10,0.0772
41,2023-05-10,-0.8553
42,2023-05-09,-0.6486
43,2023-05-09,-0.2263
44,2023-05-09,0.0
45,2023-05-09,0.2023
46,2023-05-09,0.6249
47,2023-05-08,0.0258
48,2023-05-07,-0.7269
49,2023-05-07,0.4404
50,2023-05-07,0.6369
51,2023-05-07,0.5563
52,2023-05-06,-0.2263
53,2023-05-06,0.4404
54,2023-05-06,0.8779
55,2023-05-06,0.5267
56,2023-05-05,0.296
57,2023-05-05,0.0258
58,2023-05-05,-0.2732
59,2023-05-05,0.4497
60,2023-05-05,0.3818
61,2023-05-05,0.296
62,2023-05-05,0.9584
63,2023-05-05,0.0
64,2023-05-05,-0.8807
65,2023-05-04,0.0
66,2023-05-04,0.0
67,2023-05-04,-0.6597
68,2023-05-04,0.0
69,2023-05-04,0.0
70,2023-05-04,-0.765
71,2023-05-03,-0.5574
72,2023-05-03,0.5719
73,2023-05-03,-0.128
74,2023-05-03,0.7096
75,2023-05-03,-0.4404
76,2023-05-02,-0.4019
77,2023-05-02,-0.3818
78,2023-05-02,0.0
79,2023-05-02,0.0
80,2023-05-01,0.0516
81,2023-05-01,0.5267
